YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
2014.3,14.15,21.48333333,72.33333333,67.41666667,1276,92,5.754699182,329.618756,1.447103333,18.23477355,18.32330428,0.667009664,101.5297691,2.61347602,116.7592344,1020.8,19.65,15.98333333
1983.8,13.03333333,21.99166667,76.5,68.25,1214,82,6.027527649,334.0574928,1.494580833,17.47311528,17.56406042,0.722300463,101.6919009,1.791120248,116.945686,971.2,19.75208333,15.27291667
1960.5,13.9,22.50833333,83.5,80.5,1466,89,5.836547722,330.950377,1.6974425,18.33803866,18.45091644,0.805557176,99.53042079,2.117142176,114.4599839,1172.8,20.35625,16.05208333
2293.1,13.39166667,21.65,81.16666667,81.83333333,2035,92,5.066666667,318.4249269,1.7112875,17.56106065,17.68172338,0.846606944,95.02221367,2.105422751,109.2755457,1628,19.58541667,15.45625
2396.3,13.08333333,22.41666667,67.83333333,64.41666667,1514.9,71,5.975,333.2029031,1.382070833,17.87150037,17.96312569,0.665731852,106.7307616,1.735912234,122.7403758,1211.92,20.08333333,15.41666667
2374.3,13.5,21.91666667,69.16666667,67.41666667,1466.4,85,6.191666667,336.7279249,1.423391667,17.75312255,17.84822292,0.685233657,107.0098727,2.127899913,123.0613536,1173.12,19.8125,15.60416667
2336.3,13.58333333,22.58333333,76,77.58333333,1737.7,96,6.591666667,339.745672,1.604620833,18.00805639,18.12282222,0.760371204,108.4800945,1.81260391,124.7521086,1390.16,20.33333333,15.83333333
2501.6,13.66666667,22.41666667,80.41666667,71.66666667,1334.5,82,5.991666667,332.7229224,1.572829167,18.3007553,18.39730556,0.759709005,101.1557853,1.945670906,116.3291531,1067.6,20.22916667,15.85416667
2234.5,14.33333333,22.91666667,79.08333333,72.75,1389.7,83,5.825,330.7625033,1.5725125,18.53596127,18.6357375,0.763970532,102.8888586,2.105937559,118.3221874,1111.76,20.77083333,16.47916667
2234.3,14,22.91666667,75.5,66.75,1930.3,91,5.958333333,332.9317475,1.4992375,18.62555069,18.71444838,0.717958102,104.4516486,1.928514591,120.1193959,1544.24,20.6875,16.22916667
2385.6,13.98916667,22.94,83.92416667,81.89916667,1636.8,100,5.599166667,327.088346,1.722740417,18.54351391,18.65625463,0.816480764,98.24687299,1.949320988,112.9839039,1309.44,20.70229167,16.226875
2142.7,13.555,23.04666667,79.10083333,70.74583333,1755.5,88,5.366666667,322.1515884,1.567952333,18.43410243,18.53205324,0.765700023,98.21473054,1.748239121,112.9469401,1404.4,20.67375,15.92791667
2119.6,14.35,22.06166667,78.74333333,72.345,2121,89,5.315833333,322.478702,1.595617167,18.23715093,18.3332037,0.750958056,96.98713228,2.37830391,111.5352021,1696.8,20.13375,16.27791667
2487.5,14.4375,22.0825,79.735,72.87416667,1845,98,4.9275,316.1607783,1.599314667,18.4384878,18.5379919,0.778007153,94.69712175,2.258776845,108.90169,1476,20.17125,16.34875
2723.4,14.28333333,22.13333333,82.06666667,74.175,1414.2,96,5.266666667,321.6787932,1.6177,18.18408486,18.2858287,0.788675324,95.65494247,2.22352727,110.0031838,1131.36,20.17083333,16.24583333
2636,13.7725,22.49666667,81.08,71.47583333,2054.8,104,5.427305021,324.2922719,1.607548083,18.25426627,18.35118935,0.763576273,97.76802913,2.023918282,112.4332335,1643.84,20.315625,15.95354167
2648.1,13.28333333,22.25833333,84.825,77.86666667,2288.1,109,4.764166667,313.5034541,1.7187,17.65637398,17.75681134,0.799456667,91.19863738,1.779103937,104.878433,1830.48,20.01458333,15.52708333
2580.4,14.49083333,22.10333333,83.71583333,81.13666667,1663.7,95,5.380833333,323.5362086,1.714186417,18.56573539,18.68143079,0.835369375,96.44762761,2.323399265,110.9147717,1330.96,20.20020833,16.39395833
2410.4,13.7,21.79166667,78.125,75.96666667,1886.8,89,6.25,335.8189193,1.615984167,17.93714391,18.04537546,0.774620486,101.965813,2.009815136,117.2606849,1509.44,19.76875,15.72291667
2442.4,13.83333333,21.76666667,80.88333333,76.94166667,1659.1,83,6.208333333,336,1.643819167,17.82901852,17.93606204,0.797198148,100.8781562,2.096142457,116.0098796,1327.28,19.78333333,15.81666667
2302.8,14.01666667,21.93333333,81,76.83333333,1874.1,74,6.041666667,336,1.652825833,18.06846831,18.17617083,0.787817384,100.5342793,2.170961701,115.6144212,1499.28,19.95416667,15.99583333
2223.8,13.76666667,22.28333333,79,74.08333333,1602.4,73,6.574166667,335,1.593995,18.01550032,18.12060046,0.783416991,104.9804511,1.910080016,120.7275188,1281.92,20.15416667,15.89583333
2272.3,13.90833333,22.40833333,76.25,76.83333333,1680.1,99,6.5,332,1.597205833,18.33223009,18.44281528,0.764628241,106.4222835,1.967486002,122.3856261,1344.08,20.28333333,16.03333333
2288.9,13.46666667,21.90833333,75.66666667,76.5,2642.8,95,5.95,319,1.628245833,17.77918947,17.88950648,0.767170949,101.2420997,2.056106099,116.4284147,2114.24,19.79791667,15.57708333
2213.2,13.70833333,22.18333333,76.25,77.75,1730.7,104,5.733333333,312,1.608523333,17.98966373,18.10323912,0.768210023,101.6186131,2.016166992,116.861405,1384.56,20.06458333,15.82708333
2116.9,13.38333333,22.125,76,76.58333333,2168.9,89,5.716666667,315,1.612653333,17.87111044,17.98358727,0.767378958,100.5644816,1.94093257,115.6491539,1735.12,19.93958333,15.56875
2124.4,13.13333333,21.96666667,75.25,76,1617.8,80,5.475,297,1.576398333,17.67219711,17.7836794,0.764113773,99.51048251,1.917500247,114.4370549,1294.24,19.75833333,15.34166667
2303.5,13.04166667,21.78333333,77.41666667,76.91666667,2168.1,91,5.683333333,318,1.630188333,17.4501341,17.56085972,0.77634706,98.95050118,1.959335863,113.7930764,1734.48,19.59791667,15.22708333
2145.2,13.35,22.375,73.5,72.75,2132.1,82,5.766666667,315,1.547765,17.87561134,17.97971319,0.724990972,102.1811207,1.809999305,117.5082888,1705.68,20.11875,15.60625
2198.1,14.34166667,22.325,75.33333333,76,1654.6,92,5.016666667,290,1.578608333,18.37710822,18.48716042,0.765024884,97.99483312,2.227946261,112.6940581,1323.68,20.32916667,16.3375
2199.5,13.70833333,21.775,74.41666667,75.25,2107.4,94,5.475,309,1.580926667,17.87846995,17.98936921,0.756599583,99.50144179,2.112112019,114.4266581,1685.92,19.75833333,15.725
2113.9,13.61666667,22.3,71.75,71.75,1423.5,71,6,324,1.490720833,17.98896257,18.09471968,0.732694051,104.5656218,1.816280934,120.250465,1138.8,20.12916667,15.7875
2190.4,13.8,21.89166667,75.41666667,74.75,1371,76,5.308333333,307,1.5552225,18.00873424,18.11555,0.742521273,98.82015866,2.107681899,113.6431825,1096.8,19.86875,15.82291667
2313.1,13.91666667,21.775,77,75.33333333,2156,85,5.316666667,316,1.6095975,17.87287775,17.97995926,0.760127755,98.01919534,2.143266488,112.7220746,1724.8,19.81041667,15.88125
2359.2,13.80833333,21.85833333,78.5,76.83333333,2161.1,98,5.316666667,316,1.6398125,17.83335377,17.94334329,0.78402044,97.82972892,2.008003466,112.5041883,1728.88,19.84583333,15.82083333
