Year	YPH	YPH	Tmax	Tmin	RH830	RH1430	RF	Rday	S	Sday	W	S830	S1430	Sm	ETo	clud	Kc	erf	Tphoto	Tnicto
1981	1982	2014	21.5	14.2	72	67	1276	92	5.75	330	1.45	18.23	18.32	0.667	101.53	2.61	116.76	1021	19.65	15.98
1982	1992	1984	22.0	13.0	77	68	1214	82	6.03	334	1.49	17.47	17.56	0.722	101.69	1.79	116.95	971	19.75	15.27
1983	1859	1961	22.5	13.9	84	81	1466	89	5.84	331	1.70	18.34	18.45	0.806	99.53	2.12	114.46	1173	20.36	16.05
1984	2363	2293	21.7	13.4	81	82	2035	92	5.07	318	1.71	17.56	17.68	0.847	95.02	2.11	109.28	1628	19.59	15.46
1985	2418	2396	22.4	13.1	68	64	1515	71	5.98	333	1.38	17.87	17.96	0.666	106.73	1.74	122.74	1212	20.08	15.42
1986	2385	2374	21.9	13.5	69	67	1466	85	6.19	337	1.42	17.75	17.85	0.685	107.01	2.13	123.06	1173	19.81	15.60
1987	2255	2336	22.6	13.6	76	78	1738	96	6.59	340	1.60	18.01	18.12	0.760	108.48	1.81	124.75	1390	20.33	15.83
1988	2645	2502	22.4	13.7	80	72	1335	82	5.99	333	1.57	18.30	18.40	0.760	101.16	1.95	116.33	1068	20.23	15.85
1989	2153	2235	22.9	14.3	79	73	1390	83	5.83	331	1.57	18.54	18.64	0.764	102.89	2.11	118.32	1112	20.77	16.48
1990	2174	2234	22.9	14.0	76	67	1930	91	5.96	333	1.50	18.63	18.71	0.718	104.45	1.93	120.12	1544	20.69	16.23
1991	2528	2386	22.9	14.0	84	82	1637	100	5.60	327	1.72	18.54	18.66	0.816	98.25	1.95	112.98	1309	20.70	16.23
1992	2064	2143	23.0	13.6	79	71	1756	88	5.37	322	1.57	18.43	18.53	0.766	98.21	1.75	112.95	1404	20.67	15.93
1993	2040	2120	22.1	14.4	79	72	2121	89	5.32	322	1.60	18.24	18.33	0.751	96.99	2.38	111.54	1697	20.13	16.28
1994	2508	2488	22.1	14.4	80	73	1845	98	4.93	316	1.60	18.44	18.54	0.778	94.70	2.26	108.90	1476	20.17	16.35
1995	2828	2723	22.1	14.3	82	74	1414	96	5.27	322	1.62	18.18	18.29	0.789	95.65	2.22	110.00	1131	20.17	16.25
1996	2566	2636	22.5	13.8	81	71	2055	104	5.43	324	1.61	18.25	18.35	0.764	97.77	2.02	112.43	1644	20.32	15.95
1997	2692	2648	22.3	13.3	85	78	2288	109	4.76	314	1.72	17.66	17.76	0.799	91.20	1.78	104.88	1830	20.01	15.53
1998	2598	2580	22.1	14.5	84	81	1664	95	5.38	324	1.71	18.57	18.68	0.835	96.45	2.32	110.91	1331	20.20	16.39
1999	2357	2410	21.8	13.7	78	76	1887	89	6.25	336	1.62	17.94	18.05	0.775	101.97	2.01	117.26	1509	19.77	15.72
2000	2485	2442	21.8	13.8	81	77	1659	83	6.21	336	1.64	17.83	17.94	0.797	100.88	2.10	116.01	1327	19.78	15.82
2001	2307	2303	21.9	14.0	81	77	1874	74	6.04	336	1.65	18.07	18.18	0.788	100.53	2.17	115.61	1499	19.95	16.00
2002	2163	2224	22.3	13.8	79	74	1602	73	6.57	335	1.59	18.02	18.12	0.783	104.98	1.91	120.73	1282	20.15	15.90
2003	2317	2272	22.4	13.9	76	77	1680	99	6.50	332	1.60	18.33	18.44	0.765	106.42	1.97	122.39	1344	20.28	16.03
2004	2273	2289	21.9	13.5	76	77	2643	95	5.95	319	1.63	17.78	17.89	0.767	101.24	2.06	116.43	2114	19.80	15.58
2005	2256	2213	22.2	13.7	76	78	1731	104	5.73	312	1.61	17.99	18.10	0.768	101.62	2.02	116.86	1385	20.06	15.83
2006	2064	2117	22.1	13.4	76	77	2169	89	5.72	315	1.61	17.87	17.98	0.767	100.56	1.94	115.65	1735	19.94	15.57
2007	2098	2124	22.0	13.1	75	76	1618	80	5.48	297	1.58	17.67	17.78	0.764	99.51	1.92	114.44	1294	19.76	15.34
2008	2382	2304	21.8	13.0	77	77	2168	91	5.68	318	1.63	17.45	17.56	0.776	98.95	1.96	113.79	1734	19.60	15.23
2009	2104	2145	22.4	13.4	74	73	2132	82	5.77	315	1.55	17.88	17.98	0.725	102.18	1.81	117.51	1706	20.12	15.61
2010	2175	2198	22.3	14.3	75	76	1655	92	5.02	290	1.58	18.38	18.49	0.765	97.99	2.23	112.69	1324	20.33	16.34
2011	2280	2200	21.8	13.7	74	75	2107	94	5.48	309	1.58	17.88	17.99	0.757	99.50	2.11	114.43	1686	19.76	15.73
2012	2012	2114	22.3	13.6	72	72	1424	71	6.00	324	1.49	17.99	18.09	0.733	104.57	1.82	120.25	1139	20.13	15.79
2013	2241	2190	21.9	13.8	75	75	1371	76	5.31	307	1.56	18.01	18.12	0.743	98.82	2.11	113.64	1097	19.87	15.82
2014	2276	2313	21.8	13.9	77	75	2156	85	5.32	316	1.61	17.87	17.98	0.760	98.02	2.14	112.72	1725	19.81	15.88
2015	2380	2359	21.9	13.8	79	77	2161	98	5.32	316	1.64	17.83	17.94	0.784	97.83	2.01	112.50	1729	19.85	15.82
