date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,20,10,15,2.47,88,70,2.2
02-01-1981,0,21,9,15,8.72,93,63,1.6
03-01-1981,0,21,12,16.5,6.34,83,73,0.6
04-01-1981,0,20,10,15,3.82,88,71,1.3
05-01-1981,0,17,10,13.5,4.85,88,80,1.5
06-01-1981,8.09,18,11,14.5,8.46,100,86,1.6
07-01-1981,0,20,9,14.5,13.2,90,69,2.1
08-01-1981,0,20,10,15,5.84,87,69,2
09-01-1981,0,20,10,15,6.48,86,72,1.9
10-01-1981,0.25,20,14,17,5.85,100,84,2.1
11-01-1981,2.12,18,14,16,6.46,100,95,2.4
12-01-1981,7.92,20,12,16,4.58,100,79,2.2
13-01-1981,0.25,20,12,16,2.65,100,75.8,1.9
14-01-1981,4.45,21,11,16,7.45,100,70,2
15-01-1981,0,23,11,17,10.39,89,63,2.2
16-01-1981,0,22,11,16.5,13.87,88,65,2.6
17-01-1981,0,23,9,16,10.91,99.2,59.8,2
18-01-1981,0,23,11,17,11.16,88,64,2.1
19-01-1981,0,22,12,17,7.91,84,67,1.4
20-01-1981,0,23,9,16,11.63,96,60,1.6
21-01-1981,0,21,8,14.5,10.12,97,61.4,2.2
22-01-1981,0,21,11,16,6.41,85,69,2.4
23-01-1981,0,22,9,15.5,4.24,93,63,1.8
24-01-1981,0,21,11,16,6.27,86,69,1.7
25-01-1981,0,22,14,18,3.79,78,76,1.5
26-01-1981,0,20,12,16,6.27,86,78,1.6
27-01-1981,0,20,12,16,10.78,82,78,1.2
28-01-1981,0,19,12,15.5,7.57,82,80,0.8
29-01-1981,0,20,13,16.5,11.53,80,79.8,0.6
30-01-1981,13.4,20,12,16,0.1,100,75.8,0.9
31-01-1981,0,18,11,14.5,3.97,84,82,0.9
01-02-1981,0,19,11,15,5.15,85,77,0.7
02-02-1981,0,20,11,15.5,6.88,86.9,72,1.3
03-02-1981,4.07,19,14,16.5,2.46,100,87,1.1
04-02-1981,2.18,20,15,17.5,2.43,100,85,1.5
05-02-1981,0,22,12,17,8.98,83,68,1.4
06-02-1981,0,22,9,15.5,7.61,92,63,1.5
07-02-1981,0,22,9,15.5,7.59,94,61.5,1.5
08-02-1981,0,21,9,15,10.37,92,64,1
09-02-1981,0,21,12,16.5,6.71,84,70,1
10-02-1981,0,21,12,16.5,9.56,81,72,1.6
11-02-1981,0,23,12,17.5,12.66,84,66,2
12-02-1981,0,22,13,17.5,13.14,82,69,2
13-02-1981,0,23,14,18.5,11.64,80.5,71,1.3
14-02-1981,0,24,11,17.5,10.45,88,62,1.4
15-02-1981,0,24,14,19,8.38,81,68,0.6
16-02-1981,14.47,20,12,16,5.17,100,75,0.7
17-02-1981,8.27,19,14,16.5,6.35,100,89,0.7
18-02-1981,5.68,22,13,17.5,4.74,100,71.6,1.1
19-02-1981,0.37,21,13,17,4.79,100,74,1.6
20-02-1981,18.13,21,13,17,3.68,100,78,0.8
21-02-1981,4.64,19,13,16,2.26,100,86,0.8
22-02-1981,11.17,20,13,16.5,6.39,100,79.8,1.1
23-02-1981,0,23,11,17,6.49,89,63,0.8
24-02-1981,0,23,10,16.5,8.32,91,62,1.3
25-02-1981,0,24,10,17,11.13,93,60,1.1
26-02-1981,1.93,24,12,18,7.18,100,63.9,0.7
27-02-1981,0,25,11,18,8.06,93,60.6,1.5
28-02-1981,0,23,13,18,7.67,80,69,1.1
01-03-1981,0,22,12,17,7.92,83,68,0.8
02-03-1981,0,23,12,17.5,7.58,84,66,0.6
03-03-1981,0,23,14,18.5,5.38,80.5,71,1
04-03-1981,0,21,14,17.5,9.42,78,78,1.1
05-03-1981,0,23,13,18,5.64,80,71,1.2
06-03-1981,0,22,10,16,10.13,88,65,0.8
07-03-1981,0,23,13,18,8.28,80,69,1.3
08-03-1981,0,23,14,18.5,7.95,78,71,1.6
09-03-1981,0,23,15,19,8.86,77,73,1.3
10-03-1981,0,23,13,18,8.62,83,68,1.8
11-03-1981,0,22,11,16.5,10.26,85,66,1.6
12-03-1981,0,24,12,18,8.92,89,62,1.6
13-03-1981,0,24,13,18.5,10.13,83,67,1.3
14-03-1981,0,26,14,20,10.61,81,65,1.2
15-03-1981,0,27,13,20,9.38,87,61.7,1.1
16-03-1981,0,26,16,21,8.95,78,67,1.6
17-03-1981,0,26,15,20.5,8.78,80,66,1.5
18-03-1981,0,26,15,20.5,12.82,80,66.5,1.6
19-03-1981,0,27,12,19.5,9.41,92,60.3,1.5
20-03-1981,16.67,24,14,19,8.99,100,69,1.3
21-03-1981,0,24,12,18,10.05,86,64,1.8
22-03-1981,0,24,14,19,6.52,80,68.5,1.6
23-03-1981,0,24,13,18.5,7.49,85.2,66,1.4
24-03-1981,0,23,13,18,11.07,81,68.5,1.2
25-03-1981,0,22,13,17.5,9.57,80,72,1.3
26-03-1981,0,25,12,18.5,10.34,87,62,1.3
27-03-1981,0,26,14,20,6.97,85.7,64.6,1.2
28-03-1981,0,25,15,20,10.39,79,68.6,1.3
29-03-1981,0,25,15,20,10.56,78,68,1.5
30-03-1981,0,27,15,21,10.69,83,65,1.3
31-03-1981,0,28,14,21,10.62,87,62,2.2
