YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud,,mm,dd,yy,t2m,rain
102.08,11.2,19.6,74,69,43,2,7.61,28,1.45,94.69043856,2.006567934,,1,1,1981,15.4,43
130.08,11.6,21.5,57,53,0,0,8.26,28,1.1,102.7214924,1.364271566,,2,1,1981,16.55,0
173.77,14,23.1,68,56,94,4,6.96,28,1.28,117.3535472,1.679766525,,3,1,1981,18.55,94
199.86,16.4,25.2,63,60,71,4,6.96,28,1.26,126.0549476,1.814583417,,4,1,1981,20.8,71
218.36,15.7,25.4,63,61,111,11,4.66,26,1.29,117.3929713,1.436807346,,5,1,1981,20.55,111
188.58,15.5,22.2,69,67,47,8,5.65,28,1.38,108.819767,2.924036488,,6,1,1981,18.85,47
128.79,15.9,21.4,76,71,65,8,5.65,27,1.5,107.1638924,3.584153794,,7,1,1981,18.65,65
117.96,16,21.4,72,69,60,10,4.99,26,1.44,106.832151,3.636616142,,8,1,1981,18.7,60
142.27,15.2,21.2,82,76,164,15,3.35,27,1.66,86.9868095,3.314406234,,9,1,1981,18.2,164
182.2,15.2,19.8,83,77,324,9,5.32,30,1.76,93.43371942,4.03173224,,10,1,1981,17.5,324
174.61,12.6,19.2,81,76,123,11,4.66,27,1.63,80.18473401,2.980203754,,11,1,1981,15.9,123
127.3,10.5,17.8,80,74,174,10,4.99,26,1.62,76.72275845,2.5885668,,12,1,1981,14.15,174
109.63,9,19.5,68,55,8,2,7.61,28,1.23,94.68238927,1.173022378,,1,1,1982,14.25,8
127.34,10.5,21.9,63,49,0,0,8.26,28,1.12,101.1593215,0.958693573,,2,1,1982,16.2,0
175.71,12.7,24.3,70,53,2,0,8.26,30,1.23,126.8108285,0.922022758,,3,1,1982,18.5,2
207.94,14.5,24.4,76,61,78,6,6.3,27,1.41,115.5131683,1.355356743,,4,1,1982,19.45,78
227.31,14.8,23.7,76,65,92,9,5.32,27,1.45,111.21509,1.725689781,,5,1,1982,19.25,92
181.2,15.5,22.5,74,72,67,6,6.3,29,1.49,110.867246,2.683067283,,6,1,1982,19,67
126.24,14.5,21.5,78,71,97,10,4.99,26,1.53,102.0843091,2.670295723,,7,1,1982,18,97
113.86,14.1,22.4,80,79,46,6,6.3,28,1.61,111.9890673,1.944337326,,8,1,1982,18.25,46
