Season	YPH	YPH	Tmax	Tmin	RH830	RH1430	RF	Rday	S	Sday	W	S830	S1430	Sm	ETo	clud	Kc	erf	Tphoto	Tnicto
DJF-1981	236	323	20.6	11.4	66	61	43	2	7.94	56	1.27	17.04	17.12	0.609	98.71	1.69	113.51	34.40	18.26	13.69
MAM-1981	630	511	24.6	15.4	65	59	276	19	6.19	82	1.28	17.71	17.79	0.612	120.27	1.64	138.31	220.80	22.27	17.67
JJA-1981	456	501	21.7	15.8	72	69	172	26	5.43	82	1.44	19.65	19.73	0.647	107.61	3.38	123.75	137.60	20.20	17.27
SON-1981	539	471	20.1	14.3	82	76	611	35	4.45	84	1.68	18.50	18.61	0.741	86.87	3.44	99.90	488.80	18.63	15.77
DJF-1982	364	445	19.7	10.0	70	59	182	12	6.96	82	1.32	16.14	16.23	0.759	90.85	1.57	104.48	145.60	17.30	12.43
MAM-1982	656	543	24.1	14.0	74	60	172	15	6.63	84	1.36	16.58	16.66	0.636	117.85	1.33	135.52	137.60	21.60	16.53
JJA-1982	435	497	22.1	14.7	77	74	210	22	5.86	84	1.54	18.94	19.03	0.700	108.31	2.43	124.56	168.00	20.28	16.56
SON-1982	548	461	21.3	13.4	85	80	793	39	4.01	82	1.78	18.18	18.28	0.781	85.14	2.16	97.91	634.40	19.32	15.35
DJF-1983	332	373	21.4	10.6	75	69	66	6	7.61	85	1.45	16.64	16.74	0.803	97.12	1.12	111.69	52.80	18.73	13.31
MAM-1983	313	333	26.3	14.8	80	78	140	13	6.85	85	1.60	17.90	18.00	0.747	124.44	0.97	143.11	112.00	23.43	17.70
JJA-1983	621	569	22.4	15.6	83	83	205	26	5.43	82	1.69	20.14	20.25	0.800	103.29	2.74	118.78	164.00	20.69	17.28
SON-1983	564	521	20.6	13.9	89	85	604	30	4.99	86	1.83	18.66	18.78	0.853	86.08	2.89	98.99	483.20	18.90	15.57
DJF-1984	448	542	18.2	12.5	95	91	1065	42	3.56	68	2.04	16.44	16.56	0.901	60.91	3.48	70.05	852.00	16.78	13.93
MAM-1984	805	650	23.7	14.7	83	85	492	18	7.47	87	1.76	16.57	16.69	0.906	118.47	1.75	136.24	393.60	21.42	16.92
JJA-1984	465	561	22.3	14.3	79	78	166	18	3.47	74	1.59	19.14	19.26	0.825	94.40	2.13	108.56	132.80	20.33	16.33
SON-1984	613	531	21.3	13.0	77	81	652	28	4.53	84	1.69	18.15	18.27	0.787	92.70	1.98	106.60	521.60	19.25	15.08
DJF-1985	480	568	21.3	10.3	68	65	261	9	7.10	83	1.37	16.60	16.71	0.756	97.63	1.06	112.28	208.64	18.58	13.08
MAM-1985	766	641	25.3	14.7	64	55	291	11	8.43	91	1.23	17.47	17.56	0.631	134.86	1.19	155.09	232.88	22.67	17.33
JJA-1985	549	618	22.0	14.3	66	64	258	20	3.70	75	1.34	19.36	19.44	0.624	100.32	2.45	115.37	206.40	20.08	16.25
SON-1985	645	559	21.3	13.0	71	71	538	28	4.50	84	1.51	18.07	18.17	0.674	95.00	2.11	109.25	430.32	19.25	15.08
DJF-1986	480	576	20.7	10.3	73	72	608	15	6.90	82	1.55	16.43	16.53	0.726	94.49	1.33	108.66	486.48	18.08	12.92
MAM-1986	795	650	24.3	14.7	67	55	206	16	8.00	89	1.24	16.91	17.00	0.678	129.03	1.54	148.38	164.72	21.92	17.08
JJA-1986	500	590	22.0	15.0	66	67	131	16	5.13	81	1.35	19.27	19.35	0.638	108.90	2.77	125.24	104.80	20.25	16.75
SON-1986	626	530	21.0	13.7	73	77	515	34	5.07	86	1.58	18.35	18.45	0.690	96.94	2.59	111.48	411.68	19.17	15.50
DJF-1987	440	517	20.0	10.3	71	76	408	15	6.67	81	1.54	16.50	16.62	0.744	92.95	1.58	106.89	326.72	17.58	12.75
MAM-1987	624	535	24.3	14.0	73	77	194	20	9.00	92	1.53	16.55	16.67	0.744	133.99	1.26	154.09	155.36	21.75	16.58
JJA-1987	557	598	23.7	15.3	75	75	111	18	6.57	84	1.51	19.54	19.65	0.746	117.01	2.01	134.56	88.72	21.58	17.42
SON-1987	631	542	22.0	14.3	82	79	804	39	4.60	84	1.74	19.17	19.28	0.781	91.96	2.40	105.75	642.96	20.08	16.25
DJF-1988	433	549	20.7	11.0	76	67	577	18	6.57	80	1.52	17.20	17.30	0.793	91.00	1.61	104.65	461.84	18.25	13.42
MAM-1988	828	693	25.3	15.7	72	61	295	17	7.93	89	1.38	17.61	17.69	0.690	130.80	1.52	150.42	235.84	22.92	18.08
JJA-1988	685	728	22.7	15.0	84	81	333	31	4.27	76	1.70	20.04	20.13	0.717	96.17	2.39	110.60	266.08	20.75	16.92
SON-1988	699	607	21.0	13.7	88	80	473	23	4.57	84	1.75	18.61	18.72	0.832	85.71	2.56	98.57	378.64	19.17	15.50
DJF-1989	412	520	21.7	10.7	84	74	210	9	7.33	84	1.61	16.59	16.70	0.828	93.82	1.12	107.89	167.60	18.92	13.42
MAM-1989	674	542	26.0	15.3	71	58	380	13	8.30	91	1.35	17.77	17.85	0.733	134.85	1.17	155.08	303.68	23.33	18.00
JJA-1989	450	520	22.0	16.3	79	78	218	21	3.83	75	1.60	20.34	20.43	0.711	95.56	3.43	109.90	174.64	20.58	17.75
SON-1989	625	507	21.7	14.3	82	80	603	40	4.27	83	1.72	19.18	19.29	0.793	89.27	2.57	102.67	482.72	19.83	16.17
DJF-1990	407	508	23.0	12.0	69	62	405	13	6.93	82	1.37	17.64	17.75	0.781	98.57	1.20	113.36	323.84	20.25	14.75
MAM-1990	761	589	25.0	15.3	77	59	198	21	6.97	85	1.39	18.59	18.66	0.635	121.82	1.55	140.09	158.64	22.58	17.75
JJA-1990	401	493	22.3	15.0	77	71	144	21	5.03	80	1.50	19.73	19.81	0.701	104.04	2.53	119.64	114.80	20.50	16.83
SON-1990	571	488	21.7	14.0	81	77	1230	36	4.63	85	1.78	18.67	18.78	0.758	91.74	2.42	105.50	983.84	19.75	15.92
DJF-1991	545	579	21.5	11.2	72	62	255	13	6.95	82	1.39	17.04	17.14	0.784	94.58	1.42	108.76	204.32	18.92	13.75
MAM-1991	686	604	25.8	15.8	84	78	139	16	8.04	89	1.64	17.98	18.06	0.702	127.51	1.43	146.64	111.04	23.29	18.27
JJA-1991	627	659	22.5	15.5	91	91	372	35	2.84	71	1.88	20.33	20.45	0.850	82.86	2.82	95.29	297.20	20.71	17.21
SON-1991	712	589	21.9	13.7	86	91	976	42	4.36	83	1.92	18.83	18.97	0.901	88.39	2.22	101.65	780.40	19.86	15.77
DJF-1992	382	450	21.3	10.5	84	75	68	4	7.36	84	1.59	16.95	17.08	0.871	92.32	1.24	106.17	54.72	18.61	13.21
MAM-1992	442	413	26.5	14.5	65	46	199	13	7.94	88	1.13	17.66	17.74	0.667	130.20	0.98	149.73	159.44	23.47	17.48
JJA-1992	624	587	22.7	15.5	87	86	226	25	3.10	72	1.76	20.08	20.16	0.700	87.60	2.64	100.74	181.12	20.88	17.28
