Year	YPH	YPH	Tmax	Tmin	RH830	RH1430	RF	Rday	S	Sday	W	S830	S1430	Sm	ETo	clud	Kc	erf	Tphoto	Tnicto
1981	3049	2996	21.5	14.2	87	68	1629	103	8.27	293	1.81	13.04	13.12	0.756	89.71	2.70	103.17	1303	19.65	15.98
1982	3276	3181	26.5	17.4	87	68	1629	103	8.23	293	1.81	15.48	15.57	0.775	104.42	2.17	120.09	1303	24.24	19.65
1983	3091	3047	26.9	17.1	91	65	2019	90	7.89	276	1.85	15.46	15.53	0.780	102.44	2.28	117.81	1615	24.44	19.56
1984	2840	2895	28.1	15.3	99	59	2670	114	7.34	254	1.90	13.93	13.98	0.802	98.39	1.61	113.14	2136	24.91	18.50
1985	2773	2780	28.5	14.3	100	57	1735	109	8.14	285	1.84	12.95	12.99	0.782	104.78	1.69	120.50	1388	24.98	17.85
1986	2875	2888	29.9	13.4	98	48	1886	98	8.01	281	1.72	12.10	12.13	0.751	113.35	1.39	130.35	1509	25.78	17.51
1987	2919	2904	30.3	12.8	97	80	1376	122	8.45	299	2.05	11.72	11.80	0.846	121.14	1.34	139.31	1101	25.95	17.18
1988	3007	2986	28.8	13.3	59	95	1834	114	8.06	285	1.80	11.50	11.67	0.803	130.50	1.85	150.08	1467	24.88	17.13
1989	2842	2838	30.9	14.1	76	54	2060	113	7.85	276	1.55	12.27	12.35	0.670	125.09	1.78	143.85	1648	26.71	18.29
1990	2777	2838	32.7	12.8	50	91	1882	115	8.00	283	1.67	11.20	11.36	0.692	145.50	1.18	167.33	1506	27.69	17.73
1991	2948	2838	28.1	17.1	64	79	2285	110	7.66	269	1.71	14.94	15.08	0.719	123.56	2.27	142.10	1828	25.38	19.88
1992	2578	2760	25.3	14.0	81	64	3207	104	6.99	248	1.78	12.05	12.14	0.735	104.62	1.96	120.31	2566	22.46	16.81
1993	3171	3059	26.4	14.7	89	65	2068	117	7.87	277	1.82	12.78	12.85	0.764	101.38	1.76	116.59	1654	23.47	17.63
1994	3213	3157	25.7	14.0	88	76	3094	112	7.00	235	1.98	11.81	11.91	0.822	98.58	1.93	113.36	2475	22.77	16.93
1995	2813	2905	26.7	13.6	89	74	2006	103	7.92	279	1.92	12.09	12.19	0.817	102.47	1.72	117.84	1605	23.40	16.89
1996	3064	3111	25.9	14.1	90	78	2295	118	7.68	263	1.99	12.16	12.27	0.845	100.58	1.81	115.66	1836	22.94	17.01
1997	3492	3255	25.5	14.9	89	76	2220	119	7.74	266	1.96	12.75	12.85	0.816	95.06	2.03	109.32	1776	22.82	17.51
1998	2614	2807	26.2	15.2	92	81	2386	127	7.60	261	2.05	13.36	13.47	0.876	99.52	1.91	114.44	1908	23.43	17.95
1999	2780	2775	25.4	14.3	93	80	2348	138	7.64	264	2.05	12.66	12.76	0.855	100.25	1.94	115.28	1878	22.64	17.11
2000	3001	2983	25.8	14.5	90	72	2035	133	7.90	277	1.90	13.05	13.15	0.840	103.55	1.77	119.08	1628	22.95	17.35
2001	3017	2955	26.4	15.1	92	74	2074	124	7.86	273	1.96	13.21	13.30	0.832	102.24	1.87	117.58	1659	23.56	17.94
2002	2767	2793	26.6	14.6	90	71	1915	120	8.00	282	1.89	13.18	13.26	0.797	108.13	1.81	124.35	1532	23.59	17.56
2003	2570	2593	26.9	14.5	92	75	1436	113	8.40	300	1.94	13.47	13.57	0.847	107.65	1.65	123.80	1149	23.78	17.57
2004	2598	2645	26.5	13.8	72	91	2098	137	7.85	274	1.93	12.23	12.37	0.813	115.44	1.68	132.75	1678	23.30	16.97
2005	2806	2754	26.2	14.5	91	73	2741	146	7.30	254	1.98	12.12	12.22	0.831	100.45	1.92	115.52	2192	23.24	17.41
2006	2804	2797	26.8	14.4	92	65	2274	61	7.69	268	1.86	12.57	12.66	0.806	101.32	1.84	116.52	1819	23.69	17.48
2007	2658	2722	26.6	14.0	92	71	2714	126	7.32	252	1.95	11.91	11.98	0.789	100.90	1.90	116.04	2172	23.44	17.16
2008	2992	2909	26.7	13.9	92	74	2144	124	7.81	272	1.96	12.22	12.32	0.844	101.67	1.64	116.92	1715	23.50	17.07
2009	2729	2813	26.8	14.5	92	72	2815	115	7.62	270	1.97	12.00	12.08	0.818	102.26	1.80	117.60	2252	23.74	17.59
2010	3068	2998	26.7	14.9	93	76	2108	135	7.83	271	1.99	13.24	13.34	0.848	97.52	1.88	112.15	1687	23.77	17.87
2011	2887	2893	26.5	14.1	92	72	2354	140	7.63	266	1.96	12.44	12.53	0.831	99.65	1.75	114.60	1883	23.43	17.24
2012	2846	2848	27.3	14.0	93	70	1667	101	8.21	289	1.90	12.78	12.86	0.826	105.29	1.54	121.08	1333	23.96	17.33
2013	2717	2695	26.5	14.5	91	71	2740	127	7.30	255	1.94	12.33	12.42	0.816	99.42	1.97	114.33	2192	23.49	17.49
2014	2608	2649	27.0	15.0	90	73	2344	113	7.63	268	1.94	12.84	12.92	0.798	101.86	1.66	117.14	1875	23.96	17.96
2015	2954	2786	27.0	15.3	92	71	1986	123	7.93	278	1.92	13.47	13.56	0.828	99.89	1.76	114.87	1588	24.07	18.23
