date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,28,9,18.5,19.98,100,56,1.47
02-01-1981,2.06,27,14,20.5,18.51,100,67,1.32
03-01-1981,0,28,11,19.5,18.22,100,59,0.83
04-01-1981,0,26,10,18,18.71,100,61,3.51
05-01-1981,0,28,14,21,19.21,96,64,2.55
06-01-1981,0,27,13,20,16.77,98,65,2.38
07-01-1981,0,26,11,18.5,17.66,100,62,1.52
08-01-1981,0,25,8,16.5,18.59,100,59,2.03
09-01-1981,0,28,8,18,20.92,100,56,2.6
10-01-1981,0,27,11,19,19.93,100,61,3
11-01-1981,0,26,12,19,18.2,100,63,1.6
12-01-1981,0,27,13,20,18.39,100,64,2.57
13-01-1981,0,28,12,20,18.61,100,62,1.7
14-01-1981,0,28,8,18,20.19,100,56,3.03
15-01-1981,0,29,10,19.5,21.39,100,57,1.3
16-01-1981,0,29,10,19.5,20.96,100,57,2.93
17-01-1981,0,28,10,19,20.78,100,58,2.68
18-01-1981,0,28,7,17.5,20.93,100,55,3.01
19-01-1981,0,28,12,20,20.95,100,61,1.55
20-01-1981,0,27,10,18.5,19.54,100,59,3.06
21-01-1981,0,26,9,17.5,20.41,100,58,2.35
22-01-1981,0,25,9,17,19.69,100,61,2.87
23-01-1981,0,28,13,20.5,20.92,100,61,2.96
24-01-1981,0,27,13,20,18.36,99,64,2.26
25-01-1981,0,28,10,19,20.5,100,57,1.13
26-01-1981,0,29,11,20,21.55,100,58,2.27
27-01-1981,0,30,10,20,21.76,100,56,3.06
28-01-1981,0,28,12,20,20.67,100,61,1.87
29-01-1981,0,29,11,20,21.11,100,58,0.39
30-01-1981,0,30,13,21.5,21.5,100,60,2.75
31-01-1981,0,30,13,21.5,20.49,100,60,1.45
01-02-1981,0,29,13,21,20.1,100,61,1.12
02-02-1981,0,25,12,18.5,16.63,100,67,1.48
03-02-1981,0,26,11,18.5,18.89,100,63,2.32
04-02-1981,0,26,6,16,21.05,100,56,2.8
05-02-1981,0,30,11,20.5,23.01,100,57,1.48
06-02-1981,0,28,12,20,21.28,100,60,2.1
07-02-1981,0,29,14,21.5,21.1,98,61,2.32
08-02-1981,0,30,16,23,20.16,87,65,2.94
09-02-1981,0,33,18,25.5,20.64,82,64,2.44
10-02-1981,0,31,19,25,17.38,78,68,1.76
11-02-1981,0,31,14,22.5,19.58,98,60,1.21
12-02-1981,0,31,17,24,21.3,88,63,1.32
13-02-1981,0,31,13,22,21.17,100,59,2.06
14-02-1981,0,29,16,22.5,20.05,86,67,0.95
15-02-1981,0,28,12,20,18.84,100,60,1.21
16-02-1981,0,29,12,20.5,22.32,100,59,1.61
17-02-1981,0,29,14,21.5,21.7,99,61,2.02
18-02-1981,0,30,15,22.5,21.3,94,62,1.95
19-02-1981,0,28,13,20.5,19.81,98,62,1.51
20-02-1981,0,31,15,23,22,94,62,2.68
21-02-1981,0,30,16,23,20.39,89,64,1.7
22-02-1981,0,29,18,23.5,18.31,80,69,2.04
23-02-1981,0,31,12,21.5,21.83,100,57,1.88
24-02-1981,0,32,11,21.5,24.19,100,56,2.47
