YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
143.22,11.2,19.6,78,55,0,0,9.68,31,1.49,89.41363706,2.10974027
135.91,11.6,21.5,90,41,0,0,9.67,28,1.47,89.48691386,1.452429161
200.54,14,23.1,73,49,17,3,9.47,29,1.38,112.5564317,1.778757384
241.75,16.4,25.2,75,63,69,8,8.92,27,1.59,120.1618594,1.916017747
266.38,15.7,25.4,76,65,109,12,8.51,25,1.64,111.3115636,1.528204653
252.23,15.5,22.2,94,82,275,18,6.84,19,2.13,89.60620619,3.015839154
232.14,15.9,21.4,97,91,439,21,5.16,13,2.36,86.0215137,3.654428463
243.99,16,21.4,97,92,464,22,4.91,12,2.38,83.51847746,3.704832261
282.47,15.2,21.2,94,84,58,4,9.06,27,2.03,74.55339963,3.39450792
301.62,15.2,19.8,97,66,118,9,8.45,25,1.9,78.37625598,4.083052494
306.54,12.6,19.2,94,73,80,6,8.86,26,1.92,68.14134374,3.070526143
317.96,10.5,17.8,74,52,0,0,9.69,31,1.41,73.43182417,2.687575814
310.42,13.05,27.1,78,55,0,0,9.63,31,1.49,106.9460914,0.712551778
317.17,14.5,29.4,90,41,0,0,9.61,28,1.47,111.022965,0.68536424
305.47,18,30.55,73,49,17,3,9.42,29,1.38,143.5283282,0.827420646
310.75,19.1,30.9,75,63,69,8,8.88,27,1.59,133.8195623,0.929250191
298.91,20.75,27.95,76,65,109,12,8.48,25,1.64,123.704247,2.688840244
273.48,19.4,24.6,94,82,275,18,6.8,19,2.13,101.0386946,3.749035023
261.66,18.15,22.4,97,91,439,21,5.15,13,2.36,85.43226546,4.189262602
261.56,18.35,23,97,92,464,22,4.89,12,2.38,94.78955951,4.013836186
209.88,17.95,24.95,94,84,58,4,9.03,27,2.03,99.67821562,2.772002265
181.97,18.05,26.5,97,66,118,9,8.41,25,1.9,77.21156068,2.104150721
203.56,17.2,25.5,94,73,80,6,8.8,26,1.92,73.161012,2.270315814
233.68,13.8,25.5,74,52,0,0,9.64,31,1.41,102.7666476,1.06616426
254.23,11.5,27.5,91,40,0,0,9.64,31,1.47,105.2610859,0.685434492
237.63,15,29,89,52,0,0,9.61,28,1.58,110.1966831,0.790040117
242.71,17.5,32,84,49,0,0,9.59,31,1.49,141.7505021,0.753610218
257.83,18,32,86,52,0,0,9.58,30,1.55,139.504886,0.779492443
263.51,20,30,88,62,84,5,8.73,26,1.73,117.7094444,1.578371453
235.84,19.5,25,88,83,367,15,5.86,15,2.13,106.1186319,3.776238281
221.36,17.5,24,98,80,492,16,4.6,10,2.27,92.66574021,3.296189295
269.75,18.5,24,94,86,547,24,4.03,8,2.33,91.05552682,3.821167541
