YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
384.18,11.4,20.55,84,48,0,0,9.673138892,59,1.481405625,12.34183333,12.37645833,0.642225,89.45027546,1.781084716,102.8678168,0,18.2625,13.6875
664.8,15.36666667,24.56666667,74.66666667,59,195,23,8.969395162,81,1.53582,12.92496296,12.96814815,0.647841667,114.6766182,1.740993261,131.878111,156,22.26666667,17.66666667
770.84,15.8,21.66666667,96,88.33333333,1178,61,5.635359249,44,2.29041,13.86122222,13.95203704,0.767462037,86.38206578,3.458366626,99.33937565,942.4,20.2,17.26666667
896.24,14.33333333,20.06666667,95,74.33333333,256,19,8.789403106,78,1.94913,12.79955556,12.91518519,0.904072222,73.69033312,3.516028852,84.74388308,204.8,18.63333333,15.76666667
968.37,12.68333333,24.76666667,80.66666667,49.33333333,0,0,9.645638892,90,1.458286875,12.62877778,12.70416667,0.771394444,97.13362686,1.361830611,111.7036709,0,21.74583333,15.70416667
924.13,19.28333333,29.8,74.66666667,59,195,23,8.923645162,81,1.534790625,15.07862963,15.12796296,0.657312963,133.6840458,1.481837027,153.7366527,156,27.17083333,21.9125
812.04,18.63333333,23.33333333,96,88.33333333,1178,61,5.612859249,44,2.28990375,17.52603704,17.61685185,0.767462037,93.75350652,3.984044604,107.8165325,942.4,22.15833333,19.80833333
654.2,17.73333333,25.65,95,74.33333333,256,19,8.74448644,78,1.948119375,15.62733333,15.74296296,0.904072222,83.35026277,2.382156267,95.85280218,204.8,23.67083333,19.7125
736.75,13.43333333,27.33333333,84.66666667,48,0,0,9.629055558,90,1.48791375,15.42833333,15.49916667,0.772135185,106.0748055,0.847212956,121.9860264,0,23.85833333,16.90833333
778.35,18.5,31.33333333,86,54.33333333,84,5,9.297765952,87,1.58889375,15.27018519,15.30824074,0.681633333,132.9882775,1.037158038,152.9365191,67.2,28.125,21.70833333
780.33,18.5,24.33333333,93.33333333,83,1406,55,4.832358888,33,2.24255625,16.95403704,17.02935185,0.774456481,96.61329964,3.631198372,111.1052946,1124.8,22.875,19.95833333
740.72,17,24.83333333,95.33333333,71,491,27,7.952239722,69,1.95860625,14.45407407,14.55953704,0.886834259,85.85774309,2.89604949,98.73640455,392.8,22.875,18.95833333
581.02,13.25,26.7,97.33333333,47,156.6,8,9.100034696,83,1.648618125,14.88296296,14.94590741,0.791802593,78.54533129,1.581970115,90.32713098,125.28,23.3375,16.6125
661.28,16.5,30.88333333,100,50.33333333,200,18,8.915123955,80,1.723419375,13.1357037,13.1452037,0.711676111,127.6608324,1.054891555,146.8099572,160,27.2875,20.09583333
777.83,19.86666667,25.98333333,100,77.33333333,1922.5,69,3.058984898,19,2.350310625,14.46496296,14.52385185,0.825082963,82.2056311,3.474244361,94.53647576,1538,24.45416667,21.39583333
825.57,14.08333333,27.61666667,100,67.66666667,349.6,21,8.434266116,74,1.94710875,13.96114815,14.04883333,0.886148056,92.37614271,1.180845325,106.2325641,279.68,24.23333333,17.46666667
