"","YPH","Tmax","Tmin","RH830","RH1430","RF","Rday","S","Sday","W","S830","S1430","Sm","ETo","clud"
"1",NA,28.4,21.4,81,62,1403,132,5.98,299,1.66,28.05,28.12,0.703,114.18,2.6
"2",NA,28.7,21.5,81,61,1703,142,6.27,298,1.67,27.25,27.33,0.718,116.41,2.49
"3",NA,29.3,21.6,82,70,1443,139,6.69,309,1.78,28.41,28.5,0.744,120.27,2.27
"4",NA,28.3,21.1,82,74,1443,122,6.19,293,1.82,27.06,27.17,0.795,114.75,2.43
"5",NA,28.3,21.1,82,74,1499,122,6.67,303,1.82,27.08,27.18,0.784,117.18,2.49
"6",NA,28.6,21.2,82,72,1699,151,6.46,303,1.8,27.38,27.47,0.766,117.41,2.41
"7",NA,29.9,21.7,82,68,1439,134,6.7,282,1.74,28.74,28.82,0.746,122.76,2.13
"8",NA,29.2,21.5,82,72,1170,113,6.52,285,1.79,28.21,28.31,0.784,118.73,2.37
"9",NA,28.8,21.3,83,73,1356,130,6.75,321,1.82,27.93,28.03,0.776,118.85,2.52
"10",NA,28.1,21.3,84,78,292,78,6.32,321,1.83,27.82,27.93,0.81,113.58,2.68
"11",NA,28.7,21.4,83,75,2501,121,6.56,227,1.89,26.77,26.87,0.8,117.57,2.47
"12",NA,28.8,21.1,83,73,2449,134,6.6,234,1.86,26.82,26.92,0.787,118.13,2.35
"13",NA,28.4,20.9,83,75,2502,121,6.6,225,1.9,26.39,26.49,0.793,116.71,2.49
"14",NA,28.6,20.3,83,76,3534,125,6.56,215,1.94,25.55,25.66,0.807,117.12,2.07
"15",NA,28.8,21.4,82,74,1974,131,6.82,241,1.85,27.3,27.4,0.785,119.65,2.77
"16",2510,33.3,20.3,82,58,2431,121,6.52,227,1.68,30.73,30.79,0.715,127.96,1.16
"17",2876,33.2,20.3,82,59,3490,142,6.75,268,1.74,30.54,30.61,0.697,128.73,1.45
"18",2927,32.3,19.9,87,62,2946,142,6.83,270,1.8,30.02,30.09,0.756,126.72,1.46
"19",2951,31.2,19.3,85,64,3133,159,6.21,264,1.81,28.77,28.84,0.748,119.8,1.57
"20",2809,31.9,19.8,85,61,3064,131,6.15,275,1.78,29.3,29.38,0.743,121.76,1.43
"21",2885,31.2,19.5,84,65,2342,141,6.68,293,1.78,29.28,29.36,0.75,123.09,1.43
"22",2926,29.6,19.9,86,61,1622,121,6.82,310,1.72,28.68,28.75,0.731,118.75,2.24
"23",2822,30,19,89,60,1525,116,6.81,309,1.74,28.75,28.81,0.749,118.77,1.86
"24",2823,29.2,18.8,89,65,2089,118,6.63,303,1.83,27.62,27.69,0.77,114.14,2.14
"25",2781,29.8,19.2,90,64,2433,117,6.8,299,1.84,27.93,28,0.773,116.82,2.17
"26",2656,29.7,18.9,89,69,2512,129,6.48,292,1.89,27.7,27.77,0.778,115.59,2.03
"27",2731,29.6,19,89,62,2823,126,6.6,288,1.82,27.41,27.49,0.778,115.83,1.99
"28",3172,28.7,18.9,90,62,2636,140,7.3,291,1.83,26.52,26.59,0.767,115.95,2.06
"29",3062,29.5,19.7,90,63,2758,146,7.24,285,1.84,27.47,27.53,0.761,118.43,2.1
"30",2979,29.4,20,91,67,2610,155,7.27,283,1.9,27.38,27.45,0.793,117.63,2.14
"31",2934,29,18.9,88,59,2283,138,7.67,300,1.75,27.02,27.09,0.748,120.44,2.11
"32",2951,29.5,19.7,89,65,2140,128,7.76,304,1.82,27.81,27.88,0.77,122.9,2.18
"33",2926,29.5,19.5,88,63,2836,116,7.71,297,1.83,27.04,27.11,0.765,121.64,2.09
"34",3185,30.1,19.5,89,61,2748,129,7.76,299,1.81,27.92,27.99,0.754,123.37,1.93
"35",3240,30.2,19.6,89,63,1694,134,8.08,316,1.78,28.75,28.81,0.76,126.14,1.85
