date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,29,20,24.5,18.49,69.3,50.8,1.51
02-01-1981,0,29,19,24,19.51,65,46.4,3.29
03-01-1981,0,29,17,23,17.05,56.4,38.8,1.16
04-01-1981,0,29,14,21.5,18,34.3,26.4,1.74
05-01-1981,0,31,17,24,18.27,35.6,26.4,1.25
06-01-1981,0,29,15,22,21.23,33.2,25.7,2.2
07-01-1981,0,30,15,22.5,18.37,35.6,26.2,3.58
08-01-1981,0,28,19,23.5,18.1,72.8,53.3,1.02
09-01-1981,0,30,19,24.5,17.79,58.6,40.8,3.59
10-01-1981,0,31,19,25,15.13,59,38.7,3.39
11-01-1981,0,28,17,22.5,12.84,58.3,42,1.95
12-01-1981,0.6,27,21,24,12.63,100,67,2.71
13-01-1981,0,26,18,22,13.55,71,56.3,3.58
14-01-1981,0,28,18,23,14.83,60.4,44.8,0.93
15-01-1981,0,29,17,23,16.01,58.2,39.6,1.62
16-01-1981,0,30,21,25.5,19.89,74.3,52.8,1.6
17-01-1981,0,30,20,25,21.74,66.1,46.3,3.06
18-01-1981,0,30,20,25,21.36,60.9,43.7,2.06
19-01-1981,0,31,19,25,19.13,52,35.6,2.81
20-01-1981,0,30,20,25,17.36,63.1,44.8,2.11
21-01-1981,0,32,18,25,21.48,34.8,25.5,1.42
22-01-1981,0,31,16,23.5,16.17,36.3,25.8,3.07
23-01-1981,0,32,15,23.5,17.24,33.2,15.4,3.01
24-01-1981,0,31,18,24.5,21.41,46.8,32,3.29
25-01-1981,0,29,17,23,19.19,55.8,38.5,2.44
26-01-1981,0,29,18,23.5,22.31,55.5,40,4.25
27-01-1981,0,29,18,23.5,22.38,62.4,43.2,3.05
28-01-1981,0,31,18,24.5,22.45,46.1,31.7,3.19
29-01-1981,0,29,18,23.5,21.9,54.5,39.5,1.33
30-01-1981,0,28,21,24.5,18.13,83.3,64.7,2.8
31-01-1981,0,27,19,23,19.37,79,60,1.89
01-02-1981,0,28,17,22.5,16.91,58.3,42,1.32
02-02-1981,0,29,18,23.5,19.8,53.6,39.1,1.78
03-02-1981,0,30,19,24.5,22.33,62.4,42.6,2.78
04-02-1981,0,32,20,26,19.88,46.1,32.4,3.27
05-02-1981,0,30,22,26,19.36,73,54.6,1.18
06-02-1981,0,29,21,25,14.73,76.7,57.3,1.56
07-02-1981,0,31,20,25.5,23.2,66,43.7,1.82
08-02-1981,0,31,21,26,20.92,69.6,47.5,2.26
09-02-1981,2.77,27,21,24,17.89,100,67.7,1.78
10-02-1981,0,27,19,23,17.94,74.7,57.6,0.95
11-02-1981,0,31,18,24.5,19.43,51.6,34,2.09
12-02-1981,0,31,21,26,23.6,66.4,45.9,1.15
13-02-1981,2.43,27,20,23.5,23.68,100,62.1,1.96
14-02-1981,0,30,19,24.5,23.76,59.7,41.3,1.4
15-02-1981,0,31,17,24,23.85,33.2,25.1,2.32
16-02-1981,0,31,18,24.5,23.63,46.8,32,3.02
17-02-1981,0,31,17,24,19.14,33.2,23.7,0.73
18-02-1981,0,30,18,24,20.81,49.5,35.1,1.77
19-02-1981,0,32,21,26.5,18.49,64,42.2,2.14
20-02-1981,0,31,22,26.5,18.01,66.2,47.9,1.75
21-02-1981,0,32,21,26.5,14.5,54.1,37.5,1.44
22-02-1981,0,33,19,26,17.83,43,28.2,1.29
23-02-1981,0,32,20,26,24.26,53.7,35.8,2.35
24-02-1981,0,32,19,25.5,24.58,43.6,30.1,3.48
25-02-1981,0,33,19,26,23.89,34.7,24.9,1.71
26-02-1981,0,33,19,26,23.29,35.2,25.1,1.63
27-02-1981,0,32,21,26.5,24.09,60,40.3,2.5
28-02-1981,0,32,19,25.5,19.34,45.8,31,1.33
01-03-1981,0,31,22,26.5,15.11,73.3,51.7,1.88
