YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
,29.4,18.4,80,41,0,0,7.08,31,1.36,105.9003864,0.895032938
,31.8,20.8,81,40,1.5,1,7.86,28,1.35,116.6175817,0.895032938
,31.4,22.1,79,48,4.1,1,8.56,31,1.43,146.7854471,1.34892588
,31,23.5,79,59,125.8,15,6.66,29,1.62,135.4165046,2.20045603
,28.6,23,80,69,42.3,4,6.57,29,1.69,133.0099895,3.321144034
,26.5,21.6,81,73,211.8,19,5.03,22,1.86,110.4161611,3.719677867
,25.6,22,84,82,254.1,21,3.19,12,2,96.73888343,4.351896108
,26.6,21.3,81,72,340.8,24,4.15,17,1.91,108.0760749,3.495348637
,26.1,21.7,82,76,234.2,20,4.32,19,1.91,101.1811718,3.982883357
,27.6,22.1,80,70,79.6,12,5.38,25,1.73,109.87596,3.379674325
,27.4,20.2,79,62,89.8,13,6.18,27,1.63,101.5411959,2.370660401
,29.2,19.7,79,50,19,3,6.76,29,1.45,104.5889446,1.277244347
,29.9,18.7,80,41,0,0,7.4,31,1.36,111.0556747,0.862758156
,31.7,20,81,38,0.4,0,8.45,28,1.33,119.3737701,0.797509376
,32.1,22.6,80,46,42.5,3,7.58,31,1.43,140.544157,1.277244347
,32.2,23.6,79,53,85.5,12,8.43,30,1.52,152.3280874,1.583015323
,27,23.2,83,79,149.9,16,6.89,28,1.9,129.6515453,4.2164412
,26.8,22.3,82,76,437.4,27,2.55,8,2.02,94.50301859,3.838333875
,25.9,22.6,84,82,338.3,24,3.78,16,2.05,101.9131225,4.417103438
,25.7,22.5,84,83,180.3,17,3.21,13,1.98,97.4401397,4.468120267
,26.9,22.1,82,74,286.9,22,6.15,26,1.91,115.3626422,3.69971674
,28.2,20.8,79,60,129.7,15,6.8,28,1.63,119.477535,2.191289443
,29.6,20.7,79,53,52.2,5,6.23,28,1.5,106.4052267,1.480997773
,29.1,18.6,80,44,0,0,7.74,31,1.39,108.8812635,1.008769865
,30.3,18.1,79,48,0.6,1,7.57,30,1.43,113.4556103,0.760312007
,32.4,21.1,79,48,0,0,8.7,28,1.43,124.1169851,0.862918861
,34.2,23.4,79,48,26,3,9.42,31,1.44,161.8627791,0.9237957
,34.6,24.7,79,49,72,12,8.11,30,1.48,157.3842887,1.091481718
,30.2,23,81,75,94.3,13,7.27,29,1.8,143.0256383,2.222693015
,28,22.4,85,83,304.7,23,4.6,24,2.05,108.4078404,3.171147253
,26.3,22,87,88,318.1,23,3.16,10,2.14,95.55379719,3.924357961
,26,21.9,87,89,226,19,3.32,14,2.1,95.83615582,4.052899659
,26,21.4,87,89,121.7,14,6.18,28,2.04,108.4187614,3.81925813
,27.7,21.2,83,79,183.3,18,7.91,27,1.93,123.9531915,2.737612831
,28.5,19,80,69,95.9,13,8.02,27,1.73,113.9970907,1.293502636
,27.5,20.3,82,78,0,0,6.02,31,1.8,97.2237573,2.432590624
,28.8,19.4,80,68,2.1,1,6.97,29,1.66,108.4496479,1.360030306
,30.2,20.9,79,64,0.5,1,7.13,28,1.61,111.1189898,1.375709362
,32.8,22.1,79,53,3.9,1,8.82,31,1.48,153.8938898,0.932786865
,29.4,22.4,82,78,76.6,12,9.22,30,1.84,147.6823188,2.375723274
,29.8,22.9,82,78,130.8,15,5.89,22,1.87,129.5992645,2.372416874
,25.8,22.2,87,89,165,17,3.2,22,2.07,92.51551408,4.266359479
,25.1,21.7,87,89,250.9,21,2.61,10,2.12,88.92424745,4.346838288
,25.9,21.3,85,84,494.1,29,3.31,16,2.18,97.0745857,3.740403215
,27.1,21.7,83,81,22.5,2,6.36,24,1.86,116.0544818,3.292149012
,27,20.5,83,80,230.1,20,7.57,24,1.96,119.6769174,2.65191958
,28.7,19.9,80,67,18.9,2,6.42,26,1.65,105.2290303,1.474542567
,29.1,18.4,79,61,47.1,3,6.83,29,1.6,106.7996924,0.934564668
,28.3,18.9,80,66,2.8,1,7.55,30,1.64,109.0119116,1.297401168
,32.4,21.4,79,51,0.8,1,9.28,28,1.46,128.3025909,0.874730641
,32.5,23,79,56,2,1,8.59,31,1.52,152.8136028,1.223590354
,29.5,22.6,82,77,54.2,4,8.88,31,1.81,145.8623081,2.432572996
,29.2,23.2,82,77,187.6,18,6.36,24,1.89,132.1822675,2.952037405
,24.6,21.7,88,91,286.3,22,3.31,16,2.17,89.8671157,4.564843765
,24.8,21.2,88,90,308.1,23,3.46,13,2.17,92.30732738,4.275590255
,25.3,21.1,86,88,196.2,18,4.21,20,2.06,100.1323223,3.983592678
,26.8,21.6,84,83,60.4,6,6.56,27,1.91,115.3143922,3.452705943
,27.7,20.8,82,77,352.8,24,7.56,26,1.99,123.0368774,2.481836893
,28.5,18.9,80,66,36.6,2,7.16,28,1.66,108.5233103,1.241928206
,29.6,19.2,79,61,10.7,2,7.12,30,1.57,108.7473008,1.046480688
,29,19.2,79,60,0.3,0,7.19,30,1.56,110.4642941,1.243704945
,30.3,20,79,54,2.8,1,9.21,28,1.49,121.8310819,1.089038053
,33.1,22.7,79,50,8.2,2,8.22,31,1.45,149.1781462,1.03343034
,31.3,23.3,80,68,88,13,9.15,30,1.71,155.2874477,1.931151431
