"","YPH","Tmin","Tmax","RH830","RH1430","RF","Rday","S","Sday","W","S830","S1430","Sm","clud","ETo"
"1",2576,25.7,20.9,87,78,3690,165,7.35,333,2.02,23.34,23.44,0.831,112.35,3.85
"2",2617,28.6,18.4,79,58,2719,138,7.92,345,1.67,25.6,25.68,0.693,128.19,1.69
"3",2464,29.4,19.5,83,61,3428,127,7.49,336,1.77,26.86,26.93,0.723,124.08,2.12
"4",2339,29,19,85,63,3348,135,7.51,338,1.81,25.87,25.94,0.744,122.26,1.67
"5",2232,27.4,19.9,87,67,2099,105,8.32,351,1.82,26.42,26.5,0.772,122.99,2.46
"6",2326,27.3,19.9,89,68,2612,113,8,348,1.89,25.12,25.2,0.792,118.48,2.42
"7",2335,27.8,19.6,89,67,2048,125,8.35,356,1.84,26.35,26.42,0.781,122.29,2.22
"8",2415,27.8,19.8,89,70,2396,133,8.13,351,1.9,25.47,25.56,0.803,120.67,2.44
"9",2288,29.2,17.8,90,70,2427,125,8.09,349,1.91,27.02,27.11,0.807,123.9,1.73
"10",2288,29.2,18.2,93,73,2231,134,8.22,352,1.97,27.48,27.57,0.834,122.39,1.7
"11",2310,27.9,20.2,93,76,2770,125,7.91,341,2.03,26.22,26.31,0.851,117.64,2.78
"12",2307,27.2,18.3,94,77,3575,138,7.39,334,2.09,24.22,24.32,0.862,110.23,2.17
"13",2423,27.8,17.7,95,77,2857,152,7.83,344,2.06,25.43,25.52,0.866,113.93,1.91
"14",2405,27.7,17.5,95,77,4322,155,7.12,326,2.13,24.22,24.31,0.869,109.85,1.99
"15",2433,26.9,16.6,93,73,2791,130,7.8,345,2,24.5,24.59,0.837,114.13,2.19
"16",2566,28.1,16,92,77,2958,135,7.31,337,2.04,25.88,25.97,0.851,114.45,1.87
"17",2690,28.5,17.1,95,78,3122,152,7.66,340,2.09,25.98,26.08,0.87,116.43,1.73
"18",2657,28.2,18.4,96,80,2920,143,7.8,343,2.11,25.87,25.97,0.883,115.08,2.1
"19",2560,28.8,17.5,96,78,2769,136,7.88,344,2.08,26.3,26.4,0.876,117.96,1.71
"20",2450,29.1,17.6,87,70,2560,127,8.01,348,1.88,26.88,26.97,0.789,127.04,1.79
"21",2450,29.2,17.8,88,72,2597,147,8.03,352,1.92,27.17,27.26,0.807,125.71,1.77
"22",2267,29.8,17.6,89,69,2020,114,8.34,355,1.86,28.03,28.11,0.792,129.75,1.7
"23",2154,30.2,17.8,90,69,1829,100,8.46,357,1.88,28.66,28.75,0.802,130.28,1.71
"24",2220,29.8,17.6,92,74,2814,133,7.85,348,1.99,27.66,27.75,0.835,123.42,1.6
"25",2119,28.6,18.9,93,75,3438,123,7.47,335,2.05,26.21,26.31,0.849,116.21,2.27
"26",2041,29.5,18.4,95,82,3179,132,7.64,343,2.14,26.6,26.7,0.894,118.45,2.03
"27",1986,31,16.5,93,75,3872,137,7.18,327,2.07,27.78,27.87,0.849,123.23,1.33
"28",2181,29.4,18.4,91,74,2451,124,8.09,350,1.97,27.61,27.7,0.833,123.95,1.96
"29",2071,29.3,19.4,91,71,3159,131,7.88,342,1.96,27.02,27.11,0.814,122.07,2.09
"30",2236,28.3,19.5,89,83,2336,158,8.17,351,2.04,26.46,26.57,0.866,124.46,2.46
"31",2202,29.8,17,88,79,2982,152,6.9,326,2.01,27.44,27.55,0.841,121.86,1.61
"32",2145,28.8,17.8,89,67,1891,148,7.78,341,1.83,26.94,27.02,0.781,121.29,1.78
"33",2141,28.3,19.6,91,68,3400,123,7.23,319,1.94,25.65,25.73,0.8,115.42,2.24
"34",2200,28.3,19.6,93,70,3293,129,6.99,321,1.98,25.79,25.87,0.819,111.37,2.16
"35",2059,28.4,19.8,93,69,2582,165,7.4,331,1.94,26.35,26.43,0.816,115,2.12
