date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,28,11,19.5,15.71,100,62,3.62
02-01-1981,0,26,10,18,13.1,100,63,2.03
03-01-1981,0,27,9,18,15.95,100,60,2.3
04-01-1981,0,26,10,18,15.49,100,62,0.93
05-01-1981,0,29,10,19.5,12.49,100,61,3.26
06-01-1981,0,27,13,20,15.77,100,66,2.03
07-01-1981,0,27,15,21,16.34,100,71,1.4
08-01-1981,0,30,17,23.5,19.11,98,68,3.42
09-01-1981,0,30,16,23,18.58,100,68,2.31
10-01-1981,0,28,16,22,16.95,100,70,2
11-01-1981,0,29,17,23,15.24,97,69,0.82
12-01-1981,0,31,19,25,16.08,89,70,3.01
13-01-1981,0,31,17,24,16.77,100,67,3.65
14-01-1981,0,32,14,23,17.44,100,63,1.54
15-01-1981,0,31,13,22,16.31,100,63,2.35
16-01-1981,0,32,14,23,20.29,100,63,2.63
17-01-1981,0,31,14,22.5,19.8,100,63,2.57
18-01-1981,0,32,11,21.5,21.26,100,61,2.22
19-01-1981,0,33,12,22.5,22.09,100,62,2.29
20-01-1981,0,33,13,23,19.64,100,62,2.27
21-01-1981,0,32,15,23.5,21.14,100,64,1.93
22-01-1981,0,33,16,24.5,17.08,100,65,2.72
23-01-1981,0,33,18,25.5,18.6,96,67,0.88
24-01-1981,0,32,16,24,20.18,100,65,4.44
25-01-1981,0,31,13,22,16.05,100,63,2.54
26-01-1981,0,30,14,22,13.62,100,64,0.22
27-01-1981,0,30,16,23,19.28,100,67,3.35
28-01-1981,0,29,12,20.5,21.83,100,62,2.24
29-01-1981,0,29,14,21.5,23.12,100,65,2.98
30-01-1981,0,30,13,21.5,20.32,100,63,1.03
31-01-1981,0,30,16,23,19.47,100,67,2.64
01-02-1981,0,31,15,23,21.94,100,64,1.76
02-02-1981,19.98,32,17,24.5,18.85,100,66,1.05
03-02-1981,0,33,17,25,20.46,100,66,2
04-02-1981,0,34,18,26,19.7,95,66,2.05
05-02-1981,0,34,20,27,20.23,87,68,1.7
06-02-1981,0,31,18,24.5,21.21,94,68,2.22
07-02-1981,0,32,18,25,23.74,95,67,2.18
08-02-1981,0,31,15,23,20.06,100,65,1.22
09-02-1981,0,32,14,23,19.44,100,63,2.5
10-02-1981,0,31,16,23.5,22.59,100,65,2.99
11-02-1981,0,30,19,24.5,20.8,86,73,3.89
12-02-1981,0,34,18,26,24.06,95,66,3.91
13-02-1981,0,34,19,26.5,24.18,92,67,1.18
14-02-1981,0,36,16,26,21.51,100,65,2.36
15-02-1981,0,36,15,25.5,24.22,100,64,2.68
16-02-1981,0,34,14,24,21.5,100,63,1.22
17-02-1981,0,33,17,25,21.59,100,65,0.9
18-02-1981,0,33,18,25.5,22.35,93,67,1.96
19-02-1981,0,33,23,28,21.11,71,75,2.9
20-02-1981,0,33,20,26.5,18.9,85,69,1.44
21-02-1981,0,30,20,25,22.44,82,74,1.98
22-02-1981,0,31,18,24.5,23.6,92,69,2.33
23-02-1981,0,33,15,24,22.9,100,64,3.75
24-02-1981,0,32,16,24,24.99,100,65,2.23
25-02-1981,0,31,15,23,20.66,100,64,0.49
26-02-1981,0,34,14,24,22.02,100,63,1.97
27-02-1981,0,33,17,25,24.34,100,66,1.37
28-02-1981,0,33,20,26.5,23.8,86,69,3.27
01-03-1981,0,32,17,24.5,22.27,100,66,0.69
02-03-1981,0,32,15,23.5,24.25,100,64,3.04
03-03-1981,9.47,32,16,24,18.12,100,65,0.95
04-03-1981,0,31,13,22,22.98,100,63,2.65
05-03-1981,0,32,15,23.5,24.05,100,64,1.46
06-03-1981,2.94,32,18,25,21.97,100,67,1.86
07-03-1981,0,33,16,24.5,23.64,100,65,2.11
08-03-1981,0,34,19,26.5,23.05,92,67,2.4
09-03-1981,0,33,14,23.5,23.32,100,63,1.98
10-03-1981,0,32,16,24,21.2,100,65,1.88
11-03-1981,0,32,16,24,21.43,100,65,1.64
12-03-1981,0,32,18,25,24.19,92,68,1.24
13-03-1981,0,33,17,25,24.09,100,66,1.87
14-03-1981,0,32,16,24,23.07,100,65,2.19
15-03-1981,0,34,17,25.5,24.39,100,66,1.11
16-03-1981,0,36,17,26.5,25.93,100,65,1.68
17-03-1981,0,35,18,26.5,22.53,100,66,1.39
18-03-1981,0,35,18,26.5,24.84,94,66,2.54
19-03-1981,0,35,18,26.5,23.27,99,66,1.52
20-03-1981,1.18,33,19,26,22.91,100,67,1.46
21-03-1981,0,31,17,24,23.92,96,68,2.24
22-03-1981,0,31,18,24.5,23.83,92,69,1.75
23-03-1981,0,33,16,24.5,26.55,100,65,1.57
24-03-1981,0,33,18,25.5,26.63,98,66,2.35
25-03-1981,0,32,18,25,24.34,97,67,1.42
26-03-1981,0,33,17,25,26.11,100,65,2.09
27-03-1981,0,31,16,23.5,24.52,100,66,2.19
28-03-1981,2.9,29,18,23.5,20.41,100,72,1.79
29-03-1981,0,33,22,27.5,24.8,75,73,2.88
30-03-1981,0,31,17,24,21.8,97,67,1.23
31-03-1981,0,34,17,25.5,22.23,100,66,2.16
01-04-1981,0,32,18,25,22.14,95,67,0.78
02-04-1981,0,32,16,24,24.82,100,65,1.06
03-04-1981,29.42,34,17,25.5,26.05,100,65,1.65
04-04-1981,0,33,19,26,24.8,91,68,2.2
05-04-1981,0,34,18,26,27.03,93,67,0.7
06-04-1981,1.42,31,19,25,24.71,100,70,1.07
07-04-1981,2.25,32,20,26,23.32,100,71,2.11
08-04-1981,8.45,27,19,23,24.07,100,80,1.25
09-04-1981,1.3,29,20,24.5,18.59,100,75,2.79
