YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
213,25.6,20.7,80,71,3,1,9.6,31,1.7,118.3109688,3.861905501
187,27.5,21.8,79,58,3,12,9.61,28,1.54,122.1966015,3.442577689
177,28.7,23.1,83,66,70,7,9.13,31,1.71,144.2914804,3.49702291
196,29.4,24.4,86,71,62,8,9.21,30,1.8,146.4552122,3.811808605
216,28.4,23.7,85,72,190,14,8.25,30,1.87,142.5726446,3.959722563
207,23,20.6,95,89,917,26,2.83,20,2.58,74.74919263,4.788728186
191,23.7,20.7,92,89,770,20,3.92,23,2.46,87.89599205,4.631218897
202,22.6,20,94,94,874,26,3.14,21,2.6,78.75640237,4.741101775
231,24,19.5,94,93,442,23,6.34,28,2.35,97.33961437,4.054135976
243,25.2,18.9,89,85,205,16,8.08,30,2.07,113.9945754,3.108083777
246,24.8,19.9,84,78,126,10,8.68,30,1.89,109.3220535,3.861905501
254,25,17.5,79,71,28,2,9.38,31,1.7,112.2663995,2.431835463
249,27.6,16.4,80,42,0,0,9.58,31,1.37,119.1150357,0.972878527
256,31.2,17.1,85,48,7,1,9.53,28,1.49,126.0123061,0.69245463
248,33.2,18.8,87,48,28,2,9.39,31,1.53,156.2843729,0.684738006
251,32.4,19.3,84,56,53,8,9.21,30,1.6,155.5723156,0.738077355
242,28.6,18.8,78,66,190,18,8.19,30,1.72,143.9513777,1.35348012
224,25,19.2,82,73,575,21,5.35,26,2.06,107.1965134,3.394508439
216,24.3,18.5,80,70,800,24,3.68,22,2.13,100.2497075,3.408097055
216,25.5,18.4,83,70,668,26,4.65,24,2.09,106.0652062,2.720928477
172,28.2,18.1,75,63,97,9,8.87,31,1.6,138.8768876,1.359429601
147,27.6,18.9,72,64,139,15,8.57,30,1.6,134.7254972,2.018098687
162,28.5,19.8,76,62,153,12,8.48,30,1.63,121.0984316,2.102078122
187,31,18,67,39,9,2,9.52,31,1.19,129.1541817,0.849318588
205,32.1,16.2,67,30,0,0,9.57,31,1.09,132.6364309,0.683562866
192,32.9,18.4,65,45,0,0,9.6,28,1.23,135.9082738,0.742923509
196,33.9,19.5,67,42,0,0,9.61,31,1.22,164.3234506,0.744320684
208,34.1,20.3,91,66,8,1,9.56,30,1.76,159.8912369,0.776229198
213,32.9,21,96,67,194,12,8.19,30,1.94,147.1107243,1.01074856
192,25,19.2,83,74,743,20,4.11,23,2.18,100.2628435,3.586444664
182,25.5,20,90,48,874,19,3.14,21,2.04,88.98654965,3.710442632
223,24.1,19.9,96,84,789,27,3.77,23,2.46,83.07323581,4.293845112
195,27,19.5,93,80,353,25,6.99,28,2.14,110.9896701,2.749341511
