YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
451.77,26.55,21.25,79.5,64.5,6,13,9.6048222,59.17729656,1.61631,27.331375,27.40927083,0.720075,3.652241595,120.2537852,138.2918529,4.8,22.575,25.225
566.92,28.83333333,23.73333333,84.66666667,69.66666667,322,29,8.864028267,90.80544744,1.79071125,27.52112963,27.60162037,0.77435,3.756184693,144.4397791,166.1057459,257.6,25.00833333,27.55833333
621.66,23.1,20.43333333,93.66666667,90.66666667,2561,72,3.300299333,64.14838758,2.54904,22.847,22.95157407,0.943008333,4.720349619,80.46719568,92.53727505,2048.8,21.1,22.43333333
723.08,24.66666667,19.43333333,89,85.33333333,773,49,7.6995572,87.79289999,2.10122625,17.55462963,17.68648148,0.878108333,3.674708418,106.8854144,122.9182266,618.4,20.74166667,23.35833333
770.87,27.93333333,17,81.33333333,53.66666667,35,3,9.495144533,90.24054242,1.5202575,23.73433333,23.83712963,0.675291667,1.365722873,119.1312471,137.0009342,28,19.73333333,25.2
745.92,31.4,18.96666667,83,56.66666667,271,28,8.932774533,91.01320337,1.61639625,29.75140741,29.79787037,0.700591667,0.925431827,151.9360221,174.7264254,216.8,22.075,28.29166667
654.53,24.93333333,18.7,81.66666667,71,2043,71,4.559048667,72.5765811,2.09565375,25.683,25.75925926,0.780358333,3.174511324,104.503809,120.1793804,1634.4,20.25833333,23.375
525.04,28.1,18.93333333,74.33333333,63,389,36,8.6414736,91.23606725,1.61264625,21.67025926,21.76064815,0.689908333,1.82653547,131.5669388,151.3019796,311.2,21.225,25.80833333
581.89,32,17.53333333,66.33333333,38,9,2,9.564633333,90.3414728,1.169865,28.26518519,28.32722222,0.521741667,0.758601654,132.5662955,152.4512398,7.2,21.15,28.38333333
626.06,33.63333333,20.26666667,84.66666667,58.33333333,202,13,9.117345067,91.137204,1.64056125,32.62685185,32.66657407,0.716683333,0.843766147,157.1084706,180.6747412,161.6,23.60833333,30.29166667
629.11,24.86666667,19.7,89.66666667,68.66666667,2406,66,3.674400667,66.84950766,2.22736125,27.02585185,27.09703704,0.811716667,3.863577469,90.77420965,104.3903411,1924.8,20.99166667,23.575
597.07,28.06666667,20.06666667,82.66666667,69.66666667,722,41,7.8323824,88.37922762,1.84371,20.10681481,20.19425926,0.767683333,2.545798802,120.756502,138.8699773,577.6,22.06666667,26.06666667
456.76,29.66666667,18.8,84,50,362,19,8.706626933,90.62996167,1.5699225,26.56677778,26.64027778,0.673016667,1.445072601,119.7479427,137.7101341,289.6,21.51666667,26.95
529.22,31.33333333,20,85.66666667,61,459,32,8.480486667,90.74677584,1.7302875,29.22977778,29.27731481,0.737158333,1.083178955,145.8357503,167.7111129,367.2,22.83333333,28.5
624.35,25.33333333,19.33333333,94,79,2282,66,3.86172,64.14902291,2.3691,24.45885185,24.54092593,0.884016667,3.261603617,89.28443932,102.6771052,1825.6,20.83333333,23.83333333
661.2,28.33333333,18.33333333,82.33333333,66,323,24,8.79794,91.55422433,1.7240625,22.38481481,22.48083333,0.744358333,1.406471019,128.2296631,147.4641126,258.4,20.83333333,25.83333333
607.83,30.66666667,19.16666667,77.33333333,49.66666667,26,1,9.53943,90.26641881,1.42801875,28.70748148,28.77574074,0.635216667,1.082312944,129.5440484,148.9756557,20.8,22.04166667,27.79166667
532.81,30.33333333,21.16666667,84.66666667,62,206,14,9.117876667,90.9589471,1.68283125,30.29177778,30.34518519,0.73505,1.631857846,148.7351542,171.0454273,164.8,23.45833333,28.04166667
476.88,24.5,19.83333333,92,81,1484,63,5.950123333,78.33458221,2.2195125,25.26262963,25.35212963,0.877366667,3.869463023,102.5012833,117.8764758,1187.2,21,23.33333333
513,25.83333333,19.33333333,87.33333333,69.33333333,357,25,8.724573333,91.4150749,1.82435625,22.31240741,22.40935185,0.786308333,2.880488669,118.2703467,136.0108987,285.6,20.95833333,24.20833333
593.15,27.66666667,18,86,53.33333333,85,6,9.381693333,90.0086469,1.5783,25.53,25.60398148,0.697375,1.400441198,115.8774585,133.2590773,68,20.41666667,25.25
605.21,30,22.16666667,86.33333333,62.33333333,249,19,9.02399,91.45509334,1.71331875,28.28444444,28.33962963,0.745408333,2.054789156,146.1677368,168.0928974,199.2,24.125,28.04166667
514.03,25.16666667,20,91.66666667,80,1828,49,5.10348,75.45353624,2.26891875,25.38533333,25.46944444,0.873566667,3.524991545,98.87290185,113.7038372,1462.4,21.29166667,23.875
589.41,25.83333333,19.5,93,76,477,39,8.43051,90.61674857,1.9855875,21.4257037,21.53018519,0.848975,2.902258881,111.7199943,128.4779935,381.6,21.08333333,24.25
656.02,28.83333333,17.66666667,84.33333333,50,34,4,9.50404,90.21053901,1.51239375,25.6707037,25.74944444,0.67195,0.962185331,120.6393077,138.7352039,27.2,20.45833333,26.04166667
623.11,30.83333333,20.5,86,56,250,18,9.00183,91.20800207,1.6386,29.4742963,29.51398148,0.712083333,1.181903448,147.6208078,169.763929,200,23.08333333,28.25
555.57,25.16666667,20.16666667,92.66666667,80.66666667,959,63,7.248856667,86.39288135,2.1247125,27.09859259,27.175,0.874658333,3.658568686,111.7550997,128.5183646,767.2,21.41666667,23.91666667
498.11,26.66666667,19.83333333,91.66666667,75.66666667,709,36,7.861836667,88.7590326,2.01020625,23.14751852,23.25101852,0.842575,2.728380829,111.9538565,128.746935,567.2,21.54166667,24.95833333
505.06,28.5,18.16666667,87.33333333,60.66666667,132,8,9.267743333,90.70976273,1.6845,25.08962963,25.17898148,0.7411,1.448019481,117.2707644,134.861379,105.6,20.75,25.91666667
560.69,30.5,21,88,67.66666667,308,23,8.864433333,90.92709138,1.80320625,28.87444444,28.94157407,0.7809,1.630472369,145.1229343,166.8913745,246.4,23.375,28.125
646.44,25,20.16666667,93.66666667,82.66666667,1699,73,5.423523333,77.54311095,2.29723125,26.03333333,26.12657407,0.895825,3.927310526,98.09347912,112.807501,1359.2,21.375,23.79166667
600.71,26.66666667,19.83333333,90.66666667,73.33333333,367,35,8.70539,91.16301481,1.90858125,21.47074074,21.5787037,0.823058333,3.028434099,117.2411953,134.8273746,293.6,21.54166667,24.95833333
535.35,30.5,15.66666667,84.33333333,54.33333333,5,1,9.5577,90.36572466,1.55574375,27.122,27.20074074,0.693375,0.939203906,127.102326,146.1676749,4,19.375,26.79166667
497.12,31.66666667,18.33333333,89.66666667,65,242,26,8.997926667,91.05191536,1.77975,31.07233333,31.12694444,0.77535,0.884005706,149.0230277,171.3764819,193.6,21.66666667,28.33333333
563.13,26,19,94.66666667,82.66666667,1690,65,5.432913333,76.97749781,2.3068125,26.90111111,26.98935185,0.90075,3.060789064,99.63917672,114.5850532,1352,20.75,24.25
583.66,28,18.66666667,91.33333333,78.66666667,492,33,8.384526667,90.37469877,1.9995,22.64307407,22.75472222,0.8541,2.182437175,118.1467209,135.868729,393.6,21,25.66666667
569.32,30.73333333,15.6,82.23333333,59.73333333,15.75,3,9.530067067,90.31459594,1.594865625,28.0508,28.14194444,0.709964583,0.819517024,129.1024644,148.4678341,12.6,19.38333333,26.95
547.77,31.86666667,19.33333333,94.16666667,68.03333333,330.75,20,8.789489467,90.08201319,1.881005625,31.37502222,31.4424537,0.81375625,1.131766646,144.5059414,166.1818326,264.6,22.46666667,28.73333333
523.84,26.06666667,19.16666667,97.03333333,87.33333333,1489.25,82,5.929882133,80.36297307,2.348270625,27.20477407,27.29942593,0.93424375,3.039155002,100.2129504,115.2448929,1191.4,20.89166667,24.34166667
504.65,28.03333333,18.96666667,95.46666667,76.36666667,393.75,29,8.6301424,91.00618241,2.001665625,23.27465556,23.38484259,0.862447917,1.905910767,118.0872294,135.8003138,315,21.23333333,25.76666667
622.65,30.8,16.53333333,92.06666667,60.46666667,5.65,1,9.563199333,90.36210143,1.711734375,27.86841852,27.95174074,0.76271375,0.737108336,124.3930155,143.0519678,4.52,20.1,27.23333333
614.85,31.9,21.53333333,94.1,69.13333333,174.3,21,9.200728267,91.14467383,1.863045,31.24421852,31.30984259,0.817619167,1.363549012,148.1923201,170.4211681,139.44,24.125,29.30833333
602.81,24.4,20.46666667,96.1,86.86666667,2228.51,74,4.120864133,68.54160418,2.471173125,25.81971852,25.91508889,0.93340425,4.273467705,85.137524,97.90815261,1782.808,21.45,23.41666667
460.34,25.8,21.03333333,92.43333333,83.83333333,365.4,30,8.723181733,91.39739922,2.04624375,20.65724815,20.77415,0.884378333,3.866482332,114.7166164,131.9241088,292.32,22.225,24.60833333
429.09,26.83333333,19.66666667,85.96666667,71.3,18.5,3,9.563172533,91.38429823,1.7674875,24.96472222,25.07513519,0.7864875,2.807105588,116.1716266,133.5973705,14.8,21.45833333,25.04166667
485.32,30.73333333,18.3,93.9,70.6,270.6,14,8.929631067,91.13871845,1.89584625,28.4472963,28.53157407,0.824755,0.93946089,141.8060632,163.0769727,216.48,21.40833333,27.625
558.2,24.66666667,18.93333333,97.66666667,86.56666667,2573.5,77,3.252917067,62.96329127,2.55025125,24.16821481,24.26778704,0.9426125,3.377117151,78.00862948,89.70992391,2058.8,20.36666667,23.23333333
581.09,25.86666667,18.16666667,96.96666667,82.7,712.6,44,7.835228933,88.7054869,2.14990875,19.4770037,19.59312963,0.904271667,2.432210617,104.2328385,119.8677643,570.08,20.09166667,23.94166667
526.86,29.36666667,14.7,91.1,61.83333333,11.2,2,9.533585733,90.39597612,1.7176425,25.42527037,25.51781481,0.76476,0.72248514,120.4185812,138.4813684,8.96,18.36666667,25.7
596.51,30.46666667,19,95.36666667,74.1,318.3,25,8.8165968,91.09829463,1.96061625,29.4761963,29.5487963,0.849985833,1.153163641,138.4401229,159.2061413,254.64,21.86666667,27.6
622.69,24.96666667,18.8,97.63333333,85.66666667,2032.3,75,4.5865088,72.49707822,2.4382575,25.33940741,25.43899074,0.933435833,3.388685336,87.98036774,101.1774229,1625.84,20.34166667,23.425
657.58,26.6,17.86666667,96.4,82.1,439.2,45,8.506581333,90.67819626,2.0854725,21.13266296,21.2472963,0.89616,2.209277194,111.0906336,127.7542287,351.36,20.05,24.41666667
620.27,29.13333333,16.03333333,94.76666667,67.4,60.5,6,9.4235636,90.08161164,1.8306375,26.11850741,26.21528704,0.8113375,0.986386166,116.5644424,134.0491088,48.4,19.30833333,25.85833333
552.08,30.5,18.43333333,95.26666667,72.7,381.2,27,8.655878,91.14993836,1.955595,29.73280741,29.8075,0.84301,1.238887433,138.5031219,159.2785902,304.96,21.45,27.48333333
505.99,24.5,18.46666667,96.2,87.1,2990.5,79,3.003120133,58.81424502,2.61801,23.00054074,23.10312037,0.941420833,3.43992941,78.49550099,90.26982614,2392.4,19.975,22.99166667
602.55,26.23333333,17.8,96.23333333,81.63333333,945.6,48,7.2567744,86.04996485,2.17334625,18.42204074,18.53791667,0.897213333,2.43617696,102.3200553,117.6680636,756.48,19.90833333,24.125
510.01,29.63333333,15.53333333,94.13333333,65.86666667,3.6,1,9.560106133,90.37708437,1.79559375,25.4885,25.58225926,0.80003,0.900448445,119.7789474,137.7457896,2.88,19.05833333,26.10833333
