date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,25,2,13.5,7.36,100,60,2.91
02-01-1981,0,26,-1,12.5,7.97,100,59,1.83
03-01-1981,0,27,1,14,8.39,100,61,3.76
04-01-1981,0,27,-1,13,10.43,100,61,2.79
05-01-1981,0,24,2,13,8.75,100,60,1.46
06-01-1981,0,24,-1,11.5,9.89,100,58,2.69
07-01-1981,13.53,23,9,16,7.13,100,66,3.33
08-01-1981,0,24,4,14,9.23,100,61,3.44
09-01-1981,0,25,8,16.5,8.59,100,64,2.56
10-01-1981,0,24,8,16,7.63,100,64,4.05
11-01-1981,0,26,4,15,9.71,100,62,2.18
12-01-1981,0,27,11,19,8.68,100,66,4.31
13-01-1981,0,26,8,17,10.53,100,64,2.74
14-01-1981,0,24,6,15,8.34,100,62,1.7
15-01-1981,0,23,3,13,9.27,100,60,1.82
16-01-1981,0,24,4,14,9.45,100,61,3.15
17-01-1981,0,22,6,14,6.59,100,64,2.07
18-01-1981,0,21,9,15,4.39,100,68,3.18
19-01-1981,0,22,9,15.5,4.6,100,67,2.24
20-01-1981,28.47,23,11,17,5.41,100,70,2.71
21-01-1981,18.56,23,15,19,4.6,100,77,3.15
22-01-1981,5.42,22,15,18.5,3.29,100,81,3.58
23-01-1981,0,22,7,14.5,5.35,100,65,2.25
24-01-1981,0,25,6,15.5,7.79,100,63,3.16
25-01-1981,0,25,9,17,7.46,100,65,4.03
26-01-1981,0,25,13,19,5.2,96,70,3.32
27-01-1981,0,24,12,18,5.4,98,69,3.06
28-01-1981,0,24,9,16.5,5.66,100,66,3.29
29-01-1981,0,25,9,17,6.33,100,65,1.83
30-01-1981,0,25,8,16.5,6.97,100,65,5.95
31-01-1981,4.78,23,18,20.5,3.29,100,85,1.88
01-02-1981,0,24,11,17.5,4.81,100,67,0.5
02-02-1981,0,25,12,18.5,4.06,100,68,2.95
03-02-1981,0,24,8,16,5.17,100,64,2.36
04-02-1981,0,22,8,15,4.56,100,66,2.87
05-02-1981,0,25,1,13,6.92,100,60,3.35
06-02-1981,0,25,5,15,5.29,100,62,3.55
07-02-1981,0,24,7,15.5,4.78,100,63,1.89
08-02-1981,0,24,4,14,4.86,100,61,2.58
09-02-1981,0,23,6,14.5,4.26,100,63,2.31
10-02-1981,0,26,9,17.5,4.66,100,65,4.71
11-02-1981,0,24,9,16.5,3.79,100,65,2.79
12-02-1981,0,25,8,16.5,4.15,100,64,0.72
13-02-1981,0,25,10,17.5,3.62,100,66,2.89
14-02-1981,0,25,10,17.5,3.92,100,66,2.95
15-02-1981,0,25,13,19,2.81,95,70,3.72
16-02-1981,0,25,10,17.5,3.27,100,67,3.43
17-02-1981,0,24,8,16,4.25,100,64,3.17
18-02-1981,0,24,10,17,3.47,100,67,5.51
19-02-1981,0,26,6,16,4.72,100,63,3.52
20-02-1981,0,24,10,17,3.92,100,66,2.36
21-02-1981,0,24,8,16,3.76,100,64,1.85
22-02-1981,0,26,9,17.5,3.84,100,65,3.03
23-02-1981,0,26,13,19.5,3.17,98,69,1.47
24-02-1981,0,26,11,18.5,3.06,100,67,2.63
25-02-1981,0,27,12,19.5,3.51,100,67,1.4
26-02-1981,0,28,10,19,4.42,100,66,4.62
27-02-1981,0,26,5,15.5,4.95,100,62,2.1
28-02-1981,0,26,1,13.5,5.18,100,61,1.56
01-03-1981,0,28,3,15.5,5.54,100,63,2.27
02-03-1981,0,29,8,18.5,4.77,100,65,1.57
03-03-1981,0,28,8,18,4.86,100,65,1.07
04-03-1981,0,30,6,18,5.71,100,65,2.91
05-03-1981,0,30,9,19.5,5.1,100,67,2.05
06-03-1981,0,30,10,20,4.7,100,67,0.74
07-03-1981,0,27,10,18.5,3.96,100,66,0.89
08-03-1981,0,25,6,15.5,4.44,100,63,3.39
09-03-1981,7.41,23,15,19,2.22,100,76,2.59
10-03-1981,11.56,22,13,17.5,2.65,100,73,2.51
11-03-1981,3.51,24,15,19.5,2.57,100,75,1.18
12-03-1981,0,25,9,17,4.34,100,66,2.94
13-03-1981,0,26,7,16.5,5.29,100,64,1.66
14-03-1981,0,23,8,15.5,4.16,100,65,2.74
15-03-1981,0,25,9,17,4.76,100,65,3.61
16-03-1981,8.15,26,13,19.5,3.64,100,69,2.57
17-03-1981,0.25,27,14,20.5,3.86,100,70,2.46
18-03-1981,19.09,23,14,18.5,2.69,100,74,2.83
19-03-1981,7.67,23,11,17,3.29,100,68,3.03
20-03-1981,0,26,7,16.5,4.7,100,64,3.02
21-03-1981,0,24,12,18,2.71,95,70,2.17
22-03-1981,0,25,8,16.5,4.15,100,64,1.43
23-03-1981,0,25,8,16.5,4.13,100,65,3.24
24-03-1981,15.9,23,11,17,3.36,100,69,2.1
25-03-1981,14.51,26,14,20,3.11,100,70,1.98
26-03-1981,0,27,13,20,3.58,99,69,1.08
27-03-1981,1.56,25,14,19.5,3.27,100,70,2.02
28-03-1981,2.96,24,15,19.5,2.7,100,74,2.53
29-03-1981,20.11,26,12,19,3.62,100,68,2.61
30-03-1981,6.87,26,12,19,3.55,100,68,3.95
31-03-1981,37.29,25,12,18.5,3.54,100,68,3.4
01-04-1981,0,27,8,17.5,4.75,100,64,1.45
02-04-1981,0,30,8,19,5.19,100,65,1.82
03-04-1981,0,28,2,15,5.73,100,62,0.72
04-04-1981,0,28,10,19,4.23,100,66,1.54
05-04-1981,6.74,25,13,19,2.75,100,69,2.55
06-04-1981,0,25,8,16.5,4.13,100,64,2.54
07-04-1981,0,28,12,20,4.31,100,68,1.33
08-04-1981,10.99,25,12,18.5,3.48,100,68,2.18
09-04-1981,0,24,14,19,3,89,72,1.43
10-04-1981,0,26,12,19,3.64,100,68,1.39
11-04-1981,0,26,14,20,3.6,92,70,0.57
12-04-1981,26.52,26,12,19,3.88,100,68,2.29
13-04-1981,0,28,10,19,4.75,100,66,0.92
14-04-1981,0,29,10,19.5,4.97,100,66,2.43
15-04-1981,0,26,14,20,3.83,92,70,0.92
16-04-1981,28.9,25,12,18.5,3.37,100,69,1.91
17-04-1981,19,25,11,18,3.38,100,67,2.77
18-04-1981,0,26,11,18.5,3.55,100,67,2.59
19-04-1981,0,26,11,18.5,3.78,100,67,2.09
20-04-1981,0,27,15,21,3.27,91,70,2.35
21-04-1981,0,27,16,21.5,2.88,85,72,2.56
