YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
120,7.2,23.3,100,67,2,0,7.06,31,1.88,93.26490764,0.687372851
86,7.2,25.5,77,46,3,0,7.06,29,1.38,104.454983,0.664800817
90,10,25,88,58,127,7,5.79,27,1.71,109.4756482,0.724493696
165,13.8,25,89,68,78,7,5.79,27,1.81,106.3425061,1.311636785
195,15,23.8,89,74,162,9,5.42,26,1.92,104.3527579,2.263628467
126,16.1,17.7,100,94,1569,28,1.98,14,3.06,53.36801925,4.953215795
94,15.5,18.8,100,90,882,25,2.52,16,2.63,60.48837265,4.65221883
99,16.1,18.3,97,93,1286,28,1.98,14,2.86,60.22906969,4.877770456
122,16.1,20,100,89,658,25,2.52,16,2.49,61.3178799,4.48058927
157,15,21.6,92,81,208,15,4.33,22,2.06,83.71763435,3.355942894
152,12.7,21.6,95,76,94,6,5.97,28,1.97,82.46342336,2.216405165
126,9.4,22.7,88,64,55,3,6.51,30,1.74,92.97257691,0.868100856
90,5.6,23.9,93,52,0,0,7.06,31,1.63,100.8446391,0.664800817
69,5.6,25.6,87,44,0,0,7.06,29,1.47,102.9549445,0.662029487
70,8.9,26.1,86,44,14,2,6.69,31,1.47,118.2498745,0.671177645
102,13.3,25,96,65,48,3,6.51,30,1.83,106.1271947,1.088544781
190,15.6,23.9,88,72,123,11,5.06,25,1.86,102.2916161,2.237257873
184,16.7,19.4,97,88,634,22,3.06,18,2.43,67.71459343,4.736972885
116,15.6,18.9,95,88,823,25,2.52,16,2.52,67.34986413,4.561911536
99,15.6,18.3,100,89,759,24,2.7,16,2.55,62.11859507,4.733421137
148,13.9,21.1,95,77,180,13,4.7,24,2.03,82.9063331,2.768486115
209,12.8,22.8,96,77,128,11,5.06,25,2.01,87.9876115,1.510590583
183,13.9,22.2,92,81,140,11,5.06,25,2.02,81.18346562,2.34249563
137,8.9,23.3,86,66,9,2,6.69,31,1.71,97.65723077,0.742425562
86,5.6,23,98,50,0,0,7.06,31,1.66,96.15870758,0.668270791
65,4.4,24.6,97,50,0,0,7.06,29,1.65,98.58632417,0.661845343
69,8.9,25.4,86,45,34,2,6.69,31,1.49,116.1231922,0.672268262
76,11.1,24.9,88,56,56,5,6.15,29,1.65,109.2604765,0.736225648
127,16.1,23.4,92,75,142,12,4.88,24,1.95,96.23133864,2.60496832
208,16.1,18.6,90,83,706,18,3.79,20,2.34,77.33750968,4.761934626
137,16.1,18.5,95,87,903,22,3.06,18,2.55,69.01288451,4.782142855
108,16.7,18.4,98,90,1140,29,1.79,13,2.75,58.69335286,4.916090383
139,16.1,20.3,97,88,441,25,2.52,16,2.33,65.74574847,4.231105821
145,14.5,22.2,95,78,192,14,4.52,23,2.05,84.20325649,2.514335645
157,11.7,21.5,89,74,102,10,5.24,25,1.89,82.51862896,1.648148673
150,13.3,22.7,89,71,37,3,6.51,30,1.82,89.48578837,1.894056424
119,10.6,22.8,89,74,70,5,6.15,30,1.87,92.29361854,1.004350746
124,12.2,22.8,93,70,73,6,5.97,28,1.87,85.08466283,1.43306574
