YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
295.14,7.2,24.4,88.5,56.5,5,0,7.055448711,60,1.62910125,7.388916667,7.438333333,0.7250625,98.85994532,0.676086834,113.6889371,4,20.1,11.5
413.92,12.93333333,24.6,88.66666667,66.66666667,367,23,5.664747828,80.94212389,1.81209,8.485222222,8.540925926,0.779725,106.7236374,1.433252983,122.732183,293.6,21.68333333,15.85
386.41,15.9,18.26666667,99.14,92.33333333,3737,81,2.157762993,43.37404929,2.85091875,8.643534074,8.743055556,0.988508333,58.0284872,4.827735027,66.73276028,2989.6,17.675,16.49166667
402.58,14.6,21.06666667,95.66666667,82,960,46,4.274046945,66.04443913,2.1747375,6.950071852,7.074444444,0.896333333,75.8329792,3.35097911,87.20792608,768,19.45,16.21666667
360.2,6.866666667,24.06666667,89.33333333,53.33333333,55,3,6.874052943,90.00342661,1.6118325,9.986978519,10.07574074,0.713791667,98.9240535,0.73164372,113.7626615,44,19.76666667,11.16666667
367.72,12.6,25,90,60.33333333,185,16,6.088004618,85.47620185,1.7217075,8.108074074,8.149907407,0.753208333,108.8895618,1.332326766,125.222996,148,21.9,15.7
451.3,15.96666667,18.86666667,97.33333333,88.33333333,2216,71,2.76241555,49.85130353,2.50033125,11.2657037,11.35361111,0.9468,65.72768421,4.677435186,75.58683684,1772.8,18.14166667,16.69166667
489.45,13.53333333,22.03333333,94.33333333,78.33333333,448,35,4.939164758,73.1694188,2.02249875,9.925888889,10.03898148,0.867066667,84.02580341,2.207190776,96.62967392,358.4,19.90833333,15.65833333
364.12,6.3,23.64351852,93.66666667,55.33333333,9,2,6.934518199,90.65115203,1.674568854,10.27785185,10.36490741,0.745075,97.46742084,0.690847232,112.087534,7.2,19.30763889,10.63587963
299.38,12.03333333,24.55277778,88.66666667,58.66666667,232,19,5.906608851,83.53302558,1.696884063,7.536259259,7.577592593,0.7386,107.2050024,1.337820743,123.2857528,185.6,21.42291667,15.16319444
472.98,16.3,18.48703704,94.33333333,86.66666667,2749,69,2.883346062,51.14675438,2.547773958,10.3437037,10.42842593,0.927908333,68.34791568,4.820055955,78.60010304,2199.2,17.94027778,16.84675926
458.78,14.1,21.31203704,93.66666667,80,735,49,4.092651178,64.10126286,2.087578646,8.979777778,9.098518519,0.874458333,77.48921131,2.79786338,89.112593,588,19.50902778,15.90300926
497.48,12.02592593,22.74537037,90.33333333,71.66666667,180,14,6.20893513,88.00342661,1.852338229,11.54536626,11.64421811,0.8115,88.95468991,1.443824303,102.2978934,144,20.06550926,14.70578704
534.88,12.96296296,24.25925926,88.66666667,69,318,25,5.543817316,79.64667304,1.8291875,11.17438272,11.25799383,0.790983333,104.2960475,1.167874105,119.9404547,254.4,21.43518519,15.78703704
440.75,15.74074074,18.14814815,99.33333333,92,3192,83,2.036832481,42.07859845,2.7471875,9.388592593,9.493611111,0.983266667,57.4591851,4.723062814,66.07806286,2553.6,17.5462963,16.34259259
489.04,12.59259259,21.66666667,91.33333333,78.33333333,491,37,4.818234247,71.87396795,1.996958333,7.932053498,8.052572016,0.852425,84.95096626,1.8076409,97.6936112,392.8,19.39814815,14.86111111
482.62,7.592592593,23.51851852,88.33333333,60,79,7,6.63219192,89.65115203,1.6800625,9.455131687,9.545390947,0.742325,95.54734997,0.691461085,109.8794525,63.2,19.53703704,11.57407407
482.18,12.59259259,24.44444444,95.66666667,66,374,31,5.181025782,75.76032049,1.884708333,8.719119342,8.77776749,0.81145,98.3874224,1.262280691,113.1455358,299.2,21.48148148,15.55555556
454.49,15.74074074,18.14814815,97.33333333,92.66666667,3474,83,2.036832481,42.07859845,2.7850625,7.625843621,7.723158436,0.97895,59.34253558,4.775773603,68.24391592,2779.2,17.5462963,16.34259259
470.49,14.44444444,21.48148148,95.33333333,79,461,33,5.06009527,74.46486965,2.043645833,9.255954733,9.378158436,0.875508333,82.57111615,2.796549876,94.95678358,368.8,19.72222222,16.2037037
461.71,9.462962963,22.40740741,92.33333333,76,157,13,6.269400385,87.71140237,1.919602083,11.06852263,11.16911523,0.842975,88.21785683,0.83493666,101.4505354,125.6,19.1712963,12.69907407
403.55,13.5,24.16666667,93.33333333,79.33333333,218,19,5.906608851,83.53302558,1.9791375,10.3445144,10.44255144,0.86515,103.6735553,1.494558338,119.2245886,174.4,21.5,16.16666667
406.93,15.16666667,18.66666667,100,92.66666667,3460,61,3.367068108,56.32855777,2.81244375,10.54985185,10.6675,0.992166667,64.16488481,4.394021292,73.78961753,2768,17.79166667,16.04166667
456.87,14,20.66666667,94.33333333,87.33333333,783,40,4.63683848,69.93079168,2.1866625,6.498740741,6.627777778,0.914858333,78.33579242,2.927696833,90.08616128,626.4,19,15.66666667
431.81,9.666666667,23.16666667,93,75.66666667,12,3,6.874052943,90.00342661,1.89605625,10.51085185,10.62583333,0.843433333,93.18632209,0.89155574,107.1642704,9.6,19.79166667,13.04166667
400.69,13.5,24,92,76,250,22,5.725213083,81.58984931,1.93265625,10.2877037,10.38018519,0.842083333,102.6315743,1.531021861,118.0263104,200,21.375,16.125
566.69,15.33333333,20.66666667,97.66666667,94.66666667,1733,71,2.76241555,49.85130353,2.4846375,11.84677778,11.96231481,0.976108333,68.7331437,3.497215386,79.04311526,1386.4,19.33333333,16.66666667
578.62,14.66666667,21.5,94,88.33333333,608,36,4.878699503,72.52169337,2.16118125,10.83311111,10.96490741,0.916733333,81.99482351,2.826902342,94.29404703,486.4,19.79166667,16.375
557.26,9.5,23,89,68,132,7,6.63219192,87.06025034,1.78734375,11.53707407,11.65518519,0.7861,93.19496313,1.020599353,107.1742076,105.6,19.625,12.875
682.03,14.66666667,23.33333333,89.33333333,72.66666667,453,27,5.422886805,78.35122219,1.9031625,10.01785185,10.09407407,0.813775,100.5106061,2.101206825,115.587197,362.4,21.16666667,16.83333333
633.83,16,19.33333333,96.66666667,87,2189,73,2.641485039,48.55585269,2.4727125,12.14881481,12.25314815,0.936575,66.18597543,4.48092706,76.11387174,1751.2,18.5,16.83333333
530.78,14.5,20.66666667,92.66666667,84.66666667,745,43,4.455442712,67.98761541,2.13073125,9.669851852,9.791851852,0.892875,78.35852337,3.154720455,90.11230188,596,19.125,16.04166667
477.37,7,23.5,86.33333333,48.66666667,6,1,6.994983455,91.29887746,1.51644375,10.92474074,11.01685185,0.67505,98.11510325,0.778069968,112.8323687,4.8,19.375,11.125
461.3,13.83333333,24,82.33333333,63.33333333,302,21,5.785678339,82.23757473,1.69111875,8.529481481,8.572037037,0.73085,107.8848415,1.622137135,124.0675678,241.6,21.45833333,16.375
559.58,15.33333333,18.66666667,96.66666667,93.33333333,3767,76,2.460089272,46.61267641,2.8399875,9.389481481,9.492685185,0.981391667,62.73078666,4.44468337,72.14040466,3013.6,17.83333333,16.16666667
607.37,14.83333333,21.66666667,89.66666667,82.33333333,693,34,4.999630014,73.81714422,2.06083125,6.41737037,6.545555556,0.865775,86.42778297,2.789789415,99.39195042,554.4,19.95833333,16.54166667
567.57,9,23.33333333,100,57,34,5,6.753122432,89.65457864,1.7689875,11.61714815,11.71092593,0.785283333,89.50240419,0.814315031,102.9277648,27.2,19.75,12.58333333
545.17,14.33333333,23.83333333,86.33333333,64,490,26,5.48335206,78.99894761,1.77883125,10.32244444,10.37212963,0.75575,105.4125612,1.675202469,121.2244454,392,21.45833333,16.70833333
563.07,16.5,17.83333333,96.66666667,96.66666667,2604,88,1.734506202,38.83997133,2.6593875,10.91237037,11.01138889,0.988366667,58.56754375,4.935686041,67.35267532,2083.2,17.5,16.83333333
643.28,14.83333333,21.33333333,93,87.66666667,644,38,4.757768991,71.22624253,2.14918125,10.06033333,10.19916667,0.9087,81.25657178,2.899955794,93.44505754,515.2,19.70833333,16.45833333
660.2,10.66666667,23.33333333,87,64.33333333,12,2,6.934518199,90.65115203,1.700925,11.88437037,11.99861111,0.756766667,95.99766315,1.032701057,110.3973126,9.6,20.16666667,13.83333333
627.83,14.66666667,24.16666667,92.33333333,72.33333333,354,22,5.725213083,81.58984931,1.91450625,11.22340741,11.29472222,0.826283333,101.8823856,1.728875794,117.1647434,283.2,21.79166667,17.04166667
593.58,16.83333333,18.5,96.66666667,93.33333333,3387,85,1.91590197,40.7831476,2.7685875,10.42792593,10.53444444,0.978225,60.80430582,4.910202359,69.92495169,2709.6,18.08333333,17.25
635.38,15,21.66666667,93,78.33333333,498,34,4.999630014,73.81714422,2.01675,9.251444444,9.376388889,0.860816667,83.60246827,3.047220339,96.14283851,398.4,20,16.66666667
518.95,7.69,23.98333333,94.62333333,58.47333333,0,0,7.055448711,90,1.71877425,11.35482185,11.44446481,0.765483333,97.86511514,0.731486839,112.5448824,0,19.91,11.76333333
396.68,10.5,25.5,87.22333333,57.87,369,20,5.846143595,81.93869728,1.6974375,7.525097778,7.563268519,0.728541667,111.1570625,1.196132791,127.8306219,295.2,21.75,14.25
582.02,16.08666667,18.99,96.49333333,92.83333333,3824.5,80,2.218228248,44.02177472,2.843072625,7.102399259,7.196812037,0.978504167,62.75775787,4.655052407,72.17142155,3059.2,18.26416667,16.8125
