date,precip,t_max,t_min,t_mean,rh_830,rh_1430,s,ws
01-01-1981,0,25,17,21,80,71,6.5,3.41
02-01-1981,0,26,16,21,86,74,5,3.17
03-01-1981,0,25,16,20.5,80,96,4,3.01
04-01-1981,0,25,15,20,80,78,4.5,3.29
05-01-1981,0,24,15,19.5,82,94,4,2.96
06-01-1981,0,25,17,21,78,90,6,2.76
07-01-1981,0,26,15,20.5,68,70,7,3.02
08-01-1981,0,25,13,19,68,58,9.5,3.04
09-01-1981,0,28,13,20.5,78,48,10,2.61
10-01-1981,0,25,12,18.5,74,64,7.5,2.61
11-01-1981,0,25,14,19.5,72,56,5.5,3.05
12-01-1981,0,20,17,18.5,90,72,10.1,2.84
13-01-1981,0,23,17,20,92,70,6.33,2.99
14-01-1981,0,24,15,19.5,95,70,2,3.14
15-01-1981,0,23,18,20.5,92,80,1.5,3.08
16-01-1981,0,27,18,22.5,76,62,4,3.14
17-01-1981,0,26,8,17,100,100,4,3.15
18-01-1981,0,24,17,20.5,88,100,2,3.02
19-01-1981,0,25,19,22,90,100,3,3.32
20-01-1981,0,26,18,22,86,100,6,3.23
21-01-1981,0,26,15,20.5,80,100,7.5,3.01
22-01-1981,0,26,14,20,80,100,7.5,2.86
23-01-1981,0,27,14,20.5,90,100,8.5,2.88
24-01-1981,0,30,11,20.5,78,100,10.5,3.05
25-01-1981,0,28,11,19.5,82,100,9.5,3.22
26-01-1981,0,28,10,19,84,100,10,3.3
27-01-1981,0,28,13,20.5,84,80,9,2.81
28-01-1981,0,25,18,21.5,95,100,1,2.81
29-01-1981,0,25,20,22.5,96,100,6.73,2.97
30-01-1981,0,24,20,22,90,99,3.5,3.17
31-01-1981,0,26,12,19,70,93,8,3.31
01-02-1981,0,28,13,20.5,70,90,9.5,3.56
02-02-1981,0,28,12,20,60,100,10,2.94
03-02-1981,0,26,13,19.5,70,100,6.5,2.87
04-02-1981,0,24,16,20,70,100,0.5,3.01
05-02-1981,0.8,25,22,23.5,64,100,1.5,3.2
06-02-1981,0,25,21,23,90,100,0.5,2.73
07-02-1981,0,25,19,22,78,82,3,2.51
08-02-1981,0,27,21,24,82,100,3.5,3.17
09-02-1981,0,28,15,21.5,66,100,9,3.29
10-02-1981,12.2,30,16,23,68,85,7,3.28
11-02-1981,0,28,15,21.5,80,100,7.5,3.35
12-02-1981,2,27,19,23,90,100,5,2.85
13-02-1981,8.3,24,20,22,90,98,1,2.82
14-02-1981,3.6,24,20,22,80,99,2,2.93
15-02-1981,0,26,19,22.5,80,100,8,2.81
16-02-1981,0,27,15,21,70,87,6.5,2.99
17-02-1981,4,27,17,22,74,94,5.5,3.56
18-02-1981,15.4,25,18,21.5,80,91,4,3.02
19-02-1981,15,26,16,21,84,77,5,2.96
20-02-1981,4.7,26,16,21,90,100,6,3.11
21-02-1981,0,29,16,22.5,82,100,8.5,3.26
22-02-1981,0,29,14,21.5,88,100,8.5,2.79
23-02-1981,0,28,15,21.5,74,100,8.5,3.08
24-02-1981,0,31,14,22.5,82,100,11,3.14
25-02-1981,0,30,13,21.5,75,100,10.5,3.35
26-02-1981,0,27,15,21,60,100,10.5,2.5
27-02-1981,0,29,17,23,70,97,10,2.84
28-02-1981,0,27,18,22.5,54,94,8,2.94
01-03-1981,0,24,21,22.5,70,100,0.5,2.88
02-03-1981,0,29,21,25,66,91,4,3.18
03-03-1981,0,26,19,22.5,48,100,7.36,2.94
04-03-1981,5.5,26,21,23.5,86,100,2,2.96
05-03-1981,1.6,24,21,22.5,78,100,11.21,3.04
06-03-1981,28.4,24,18,21,90,100,2.5,3.88
07-03-1981,1.6,25,20,22.5,95,100,0.5,3.52
08-03-1981,35.5,24,19,21.5,88,100,4.5,3.67
09-03-1981,7.1,24,17,20.5,90,100,12.13,3.82
10-03-1981,2.4,28,16,22,80,100,2.5,3.12
11-03-1981,26.8,25,17,21,76,100,8,3.22
12-03-1981,3.9,29,16,22.5,80,100,8,3.45
13-03-1981,32.2,30,16,23,84,95,7,3.81
14-03-1981,1.6,27,18,22.5,80,98,8.5,3.27
15-03-1981,0,29,16,22.5,88,100,6,3.3
16-03-1981,0,30,17,23.5,72,100,9,3.2
17-03-1981,0,30,14,22,68,100,9.5,3.39
18-03-1981,0,30,17,23.5,95,100,11,3.41
19-03-1981,0,31,15,23,84,100,9.5,3.39
20-03-1981,0,32,14,23,70,100,11,3.13
21-03-1981,0,31,13,22,54,100,11,3.16
22-03-1981,0,32,10,21,54,100,11,3.35
23-03-1981,0,31,17,24,80,95,11.5,3.35
24-03-1981,0,33,14,23.5,70,100,10,3.27
25-03-1981,0,31,12,21.5,60,100,11,3.44
26-03-1981,0,30,10,20,70,96,11.5,3.38
27-03-1981,0,29,12,20.5,72,100,11,3.18
28-03-1981,0,30,15,22.5,72,100,9.5,2.99
29-03-1981,0,30,16,23,80,100,10,2.9
30-03-1981,0,30,16,23,80,100,10,3.31
31-03-1981,0,29,18,23.5,78,100,10.5,3.35
01-04-1981,0,30,20,25,80,100,7,3.35
02-04-1981,0,29,18,23.5,80,100,5,3.14
03-04-1981,0,28,19,23.5,86,100,6,3.5
04-04-1981,7.3,28,20,24,84,100,2,3.23
05-04-1981,3.9,27,20,23.5,90,100,3.5,3.34
06-04-1981,18.9,28,20,24,90,100,4.5,3.28
07-04-1981,9.5,29,17,23,92,100,5,3.42
08-04-1981,0,28,20,24,88,100,5,3.34
09-04-1981,4.7,28,20,24,80,100,5.5,3.74
10-04-1981,0,29,19,24,90,100,7,3.51
11-04-1981,0,28,18,23,70,100,6.5,3.34
12-04-1981,4.7,29,16,22.5,68,100,7,3.27
13-04-1981,0,29,17,23,76,100,9,3.76
14-04-1981,3.9,28,20,24,74,100,8,3.37
15-04-1981,0.8,28,22,25,76,100,8,3.52
16-04-1981,2.4,27,19,23,80,100,4,3.37
17-04-1981,26,26,21,23.5,86,100,3.5,3.59
18-04-1981,0,24,17,20.5,90,100,4,3.51
19-04-1981,2.4,28,20,24,80,100,7.5,3.61
20-04-1981,2.4,27,20,23.5,86,100,6,3.38
21-04-1981,0,27,21,24,80,100,7.5,3.37
22-04-1981,0,28,21,24.5,86,100,7.5,3.11
23-04-1981,0,29,20,24.5,90,100,7,3.53
24-04-1981,7.1,28,22,25,84,100,5.5,3.52
25-04-1981,0,26,21,23.5,82,100,2.5,3.29
26-04-1981,18.5,27,19,23,76,100,3,3.35
27-04-1981,15.8,27,21,24,80,100,3.5,3.49
28-04-1981,0,28,21,24.5,80,100,7,3.34
29-04-1981,0,28,17,22.5,70,100,8.5,3.11
30-04-1981,5.5,29,21,25,74,100,5,3.43
01-05-1981,1.6,28,20,24,82,100,4.5,3.13
02-05-1981,3.9,29,22,25.5,78,80,7.5,3.38
03-05-1981,1.6,29,20,24.5,76,99,5.5,3.39
04-05-1981,0.8,29,20,24.5,76,100,6,3.66
05-05-1981,0,30,18,24,76,85,10,3.65
06-05-1981,0,29,20,24.5,72,69,10,3.67
07-05-1981,0,29,20,24.5,76,100,7.5,3.57
08-05-1981,0,28,19,23.5,70,100,7,3.4
09-05-1981,0,28,20,24,78,100,4.5,3.42
10-05-1981,0,27,21,24,80,100,3,3.11
11-05-1981,0,29,17,23,74,100,10,3.53
12-05-1981,0,30,19,24.5,74,92,8.5,3.68
13-05-1981,0,30,20,25,74,100,7.5,3.52
14-05-1981,0,28,20,24,80,100,4,3.68
15-05-1981,0,29,20,24.5,80,100,8,3.28
16-05-1981,0,28,18,23,74,92,3.5,3.36
17-05-1981,0,29,20,24.5,80,91,9,3.32
18-05-1981,0,29,20,24.5,78,94,7,3.31
19-05-1981,1.6,30,21,25.5,82,100,5,3.44
