YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
102,11.4,24.7,83,61,2,1,7.9,31,1.23,103.2618141,0.806489627
87,10.8,26.5,77,53,2,1,9.3,27,1.18,113.7546542,0.68253075
98,14,27,80,75,166,12,7.8,30,1.23,125.7177861,0.839768499
143,17.7,26.9,80,75,92,10,7.8,30,1.23,126.5051639,1.911310537
217,18,26.4,79,80,166,15,6.5,30,1.2,121.4919664,2.290847973
174,18.4,20.9,89,89,1573,29,1,5,1.26,66.68382057,4.808726103
114,17.5,21.9,86,87,904,24,2.3,14,1.25,79.41437749,4.246780919
92,17,19.7,88,86,1001,29,1.1,12,1.25,68.08686945,4.766944344
122,17.1,21.3,86,85,904,27,2.7,19,1.24,76.81733815,4.322644137
188,17.3,23.5,88,82,227,24,3.7,29,1.28,84.88050952,3.427783813
172,15,24.4,85,73,86,11,4.6,29,1.25,86.12505498,1.822979152
141,9,25.8,86,60,30,2,6.5,31,1.27,98.19674593,0.668884335
97,9.2,27,80,45,0,0,9.2,31,1.22,117.5420455,0.664115897
90,9,27.3,72,39,0,0,9.9,28,1.13,119.3764301,0.663011568
105,12.7,27.6,67,46,6,2,9.3,31,1.08,139.0746578,0.703756449
103,16.3,26.2,69,69,120,15,7,30,1.1,122.6051363,1.537971698
134,17.4,24.7,76,79,174,23,5,30,1.16,108.4302199,2.670980826
172,17.4,21,83,82,517,26,1.7,15,1.19,74.07388836,4.446132904
130,16.8,20.2,87,86,754,27,1.7,16,1.24,72.16955203,4.510539693
113,16.7,20,88,83,546,26,2,16,1.25,73.46697388,4.545713058
128,15,22.5,75,75,178,14,5.8,30,1.12,102.227163,2.513498615
148,14.9,23.4,81,76,230,14,6.5,31,1.2,104.3222408,2.035702561
152,15.4,22.8,83,77,259,14,4.7,26,1.21,83.22962771,2.673868759
156,11.9,24.2,69,63,2,1,8.1,31,1.07,104.0227604,0.910126868
144,9.8,27.2,72,49,0,0,8.82,31,1.13,115.3387041,0.664758668
161,14.5,29.2,74,59,6,2,8.7,28,1.17,117.7077605,0.704230749
221,15.9,30.6,78,56,42,5,9.89,31,1.23,152.4483812,0.690004599
283,17.6,30.8,72,59,54,4,8.82,30,1.16,146.4102308,0.732555524
265,20.7,28.2,78,78,154,12,6,30,1.21,123.6695367,2.300521715
167,20,24.8,86,88,712,23,2.73,22,1.27,85.38212237,3.786686322
98,19.9,23.7,86,89,823,23,2.23,16,1.27,82.42637103,4.279892379
107,20,23,93,90,801,30,0.94,8,1.34,68.52157788,4.591398734
145,19.8,23.5,90,89,466,27,1.88,15,1.31,74.20093332,4.355054452
164,18.4,25.4,81,85,204,17,5,27,1.22,101.4903886,2.677962291
169,16.6,25.7,74,79,170,11,6.53,30,1.15,102.1413026,1.696746822
155,17.9,25.6,77,79,81,10,4.79,27,1.18,91.26211587,2.439734554
142,15.3,24.5,83,72,64,9,5.4,28,1.23,90.80692588,1.754048888
131,16.7,26.9,76,71,66,9,6.1,28,1.18,99.22751886,1.364590194
145,16.2,28.7,76,59,150,11,7.6,29,1.2,131.9663232,0.809709335
218,19.6,27.8,82,87,135,17,5.6,30,1.25,113.4874598,2.033019685
274,19.8,28.5,77,83,37,9,6,31,1.2,124.7485458,1.687536452
158,20.1,22.3,94,90,1061,30,0.2,4,1.34,61.24249208,4.807412254
97,19,21.2,93,91,1117,30,0.4,11,1.32,62.08064759,4.801237607
106,19.3,21.8,87,84,529,26,1.9,14,1.26,76.38887553,4.726892042
143,18.7,24.7,83,86,321,20,4.2,26,1.24,94.67991399,3.113495437
191,16.3,27.7,80,73,285,14,4.9,21,1.23,106.2380053,0.880463158
158,16.4,26.1,82,72,133,11,5.5,29,1.23,95.80461267,1.374296418
149,14,25.2,69,66,78,3,7.9,31,1.08,104.9434392,1.007356102
146,17.1,28.8,78,80,126,8,7.3,29,1.23,113.0749586,0.928938149
141,14.1,28.6,67,56,18,2,8.4,28,1.09,117.4973763,0.689681373
195,16.8,30.2,70,61,38,6,8.3,31,1.14,140.2084552,0.730155519
225,19.5,33.9,69,80,78,12,6.8,30,1.18,143.0213918,0.686381517
208,20,27.6,79,79,140,16,4.7,26,1.21,114.6260543,2.325530808
160,19.9,22.1,86,91,1476,30,0.3,4,1.25,67.51221593,4.820060106
105,16.5,21.7,85,87,704,30,0.4,6,1.23,66.98733377,3.638090835
