YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
266.87,11.1,25.6,80,57,4,2,8.6,58,1.208163881,11.39795833,11.56979167,0.699825,108.5082342,0.744510189,124.7844693,3.2,21.975,14.725
403.51,16.56666667,26.76666667,79.66666667,76.66666667,424,37,7.366666667,90,1.221465225,12.3752963,12.54740741,0.745705556,124.5716388,1.680642336,143.2573846,339.2,24.21666667,19.11666667
425.59,17.63333333,20.83333333,87.66666667,87.33333333,3478,82,1.466666667,31,1.25352195,16.4397963,16.62166667,0.870422222,71.3950225,4.607483789,82.10427588,2782.4,20.03333333,18.43333333
432.22,16.46666667,23.06666667,86.33333333,80,1217,62,3.666666667,77,1.25580225,16.45485556,16.65027778,0.868216667,82.60763422,3.191135701,94.99877935,973.6,21.41666667,18.11666667
370.31,9.066666667,26.7,79.33333333,48,30,2,8.533333333,90,1.206554738,12.94735185,13.13564815,0.715247222,111.7050738,0.665337267,128.4608349,24,22.29166667,13.475
338.91,15.46666667,26.16666667,70.66666667,64.66666667,300,40,7.1,91,1.11116925,10.73495556,10.89444444,0.621755556,123.3700047,1.637569658,141.8755054,240,23.49166667,18.14166667
437.57,16.96666667,20.4,86,83.66666667,1817,79,1.8,47,1.2265935,15.52136296,15.6887037,0.822425,73.23680476,4.500795218,84.22232547,1453.6,19.54166667,17.825
417.13,15.1,22.9,79.66666667,76,667,42,5.666666667,87,1.178845125,15.41507037,15.60101852,0.808052778,96.5930105,2.407689978,111.0819621,533.6,20.95,17.05
528.38,12.06666667,26.86666667,71.66666667,57,8,3,8.54,90,1.121906625,13.1842037,13.35333333,0.695444444,112.3564083,0.759705428,129.2098696,6.4,23.16666667,15.76666667
651.37,18.06666667,29.86666667,76,64.33333333,250,21,8.236666667,91,1.19627325,13.53434074,13.6912963,0.671666667,140.8427162,1.241027279,161.9691237,200,26.91666667,21.01666667
475.68,19.96666667,23.83333333,88.33333333,89,2336,76,1.966666667,46,1.295689763,18.26022593,18.43194444,0.845958333,78.77669043,4.219325812,90.59319399,1868.8,22.86666667,20.93333333
451.19,18.26666667,24.86666667,81.66666667,84.33333333,840,55,4.47,72,1.225979625,18.80032222,18.99481481,0.880558333,92.61087484,2.909921188,106.5025061,672,23.21666667,19.91666667
526.49,16.62,25.66,78.55333333,74.06666667,210.6,28,5.43,83,1.196137125,16.84303037,17.01722778,0.778811667,93.7655202,1.852791212,107.8303482,168.8,23.4,18.88
575.59,18.54666667,28.29333333,78.50333333,76.14,322.2,37,6.4,90,1.218289125,16.14765778,16.3166463,0.753275,123.4007763,1.510088491,141.9108927,257.6,25.85666667,20.98333333
475.99,19.48333333,21.77333333,91.24666667,88.32,2706.9,86,0.833333333,29,1.305460875,18.40871259,18.59277778,0.894643611,66.57067173,4.778513968,76.55627249,2165.6,21.20083333,20.05583333
457.54,17.13,26.14333333,81.55666667,76.99,738.1,45,4.866666667,76,1.234561125,17.94164407,18.13532778,0.839795833,98.90751065,1.789418338,113.7436373,591.2,23.89,19.38333333
523.12,15.06,27.56333333,71.42333333,67.54333333,221.9,13,7.866666667,88,1.133576625,15.49797519,15.66645648,0.728743889,111.8385914,0.875325208,128.6143801,177.6,24.4375,18.18583333
