YPH,Tmax,Tmin,RH830,RH1430,S,WS,RF,Rday,Sday,S830,S1430,Sm,n,Rs,Rnl,Rn,ETo,clud
2063.9,26.17916667,17.25833333,88,64.33333333,4.6775,0.175767361,1504,149,254.0648064,23.29634479,23.60598854,0.750411111,5.195833333,16.58583333,2.6175,10.15416667,105.0153344,2.501067816
2084,27.5,17.125,83.08333333,61.91666667,5.226666667,0.183079861,823,145,256.9440864,23.94521875,24.28158125,0.714627778,6.220833333,18.10916667,3.0325,10.91,123.085889,1.76419572
2249.6,27.5,18.125,85.08333333,71.08333333,4.801666667,0.185413194,1351,138,261.9828264,24.21356875,24.57243125,0.764444444,5.514166667,17.06166667,2.509166667,10.62833333,116.9369593,2.089912254
2494,25.75694445,18.84259259,93.78333333,84.05833333,5.073333333,0.182314738,1012.8,130,267.7413863,23.50262188,23.83841146,0.876903333,4.021666667,14.82666667,1.723333333,9.694166667,91.01454176,2.548600613
2484,26.99074074,19.30555556,93.05,76.60833333,4.655,0.186948804,1714.3,156,249.0260664,24.2663963,24.64036296,0.831086389,4.580833333,15.67583333,2.018333333,10.05333333,94.76950097,2.287513923
2402.6,26.56666667,18.15,97.275,78.58333333,6.625,0.183510417,809,102,287.8963463,23.73648417,24.07490917,0.873695556,5.06,16.37833333,2.149166667,10.46166667,97.54165805,2.127345135
2296.6,27.38425926,17.96759259,96.80833333,77.65,2.604166667,0.185072994,1121.2,117,277.0990463,24.11133426,24.46405093,0.857538333,5.635,17.24666667,2.396666667,10.88416667,81.58642988,1.954886789
2336.6,26.43518519,18.23148148,98.325,90.025,3.175833333,0.180557292,1599.5,124,272.0603063,23.6901963,24.0274963,0.933087222,4.813333333,16.00916667,1.900833333,10.42583333,76.55437008,2.359611864
2256.5,26.59166667,17.82166667,95.66666667,77.31666667,6.425,0.177431944,2195.6,152.8228417,251.3130485,23.66133467,23.99293467,0.850359444,4.970833333,16.245,2.270833333,10.23833333,101.62251,2.393938134
2349.1,25.94166667,17.66083333,90.375,76.80833333,2.971666667,0.181183333,1422,55.56203676,321.3233208,23.28124754,23.59460379,0.837036667,4.8625,16.075,2.224166667,10.15416667,89.46885748,2.242169783
2158.3,26.79166667,17.56666667,87.80833333,71.05833333,3.836666667,0.17985625,1431.4,116.6259453,277.3682984,23.69657542,24.02693792,0.786518056,5.52,17.07833333,2.536666667,10.61083333,102.8024954,2.004971904
1889.6,26.96666667,17.85833333,90.41666667,66.58333333,3.6525,0.177128819,2776.9,159,246.8666064,23.86555542,24.20641792,0.761141667,5.380833333,16.85916667,2.593333333,10.38583333,97.51713262,2.097199253
2075.4,26.65,18.175,89.5,65.5,4.334166667,0.18006875,1930.2,151,252.6251664,23.78638875,24.12725125,0.7578875,4.934166667,16.1975,2.415,10.05833333,100.0888323,2.271885857
