date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
01-01-1981,0,26,17,21.5,17.07,93,67,3.7
02-01-1981,0,26,17,21.5,17.09,94,67,3.3
03-01-1981,0,26,17,21.5,17.11,96,65,3.1
04-01-1981,0,26,19,22.5,12.93,84,74,3.4
05-01-1981,0,27,20,23.5,12.87,83,72,4
06-01-1981,0,27,20,23.5,12.89,83,73,4.1
07-01-1981,0,27,22,24.5,7.89,74,78,3.7
08-01-1981,0,29,22,25.5,12.8,73,76,3.5
09-01-1981,0,28,20,24,15.14,84,69,3.6
10-01-1981,0,27,16,21.5,20.12,97,63,3.5
11-01-1981,0,25,15,20,19.01,97,54,3.5
12-01-1981,0,27,15,21,21.16,97,59,3.9
13-01-1981,0,28,16,22,21.15,100,61,4.2
14-01-1981,0,29,17,23,21.15,100,68,4.3
15-01-1981,0,28,12,20,23.01,97,64,4.2
16-01-1981,0,28,11,19.5,23.2,97,61,4.9
17-01-1981,0,28,12,20,23.11,97,63,4.9
18-01-1981,0.125,25,14,19.5,20.56,100,71,4.5
19-01-1981,0,26,13,19.5,22.22,100,81,3.7
20-01-1981,0,25,14,19.5,20.65,100,76,3.9
21-01-1981,0,24,12,18,21.74,100,77,3.7
22-01-1981,0,24,14,19,19.54,97,65,4
23-01-1981,0,26,17,21.5,17.75,97,63,4.1
24-01-1981,0,25,17,21,15.86,97,57,4.6
25-01-1981,0,28,15,21.5,22.45,97,58,4.3
26-01-1981,0,29,15,22,22.99,97,54,4.6
27-01-1981,0,27,15,21,21.87,97,52,4.2
28-01-1981,1.185,28,19,23.5,17.82,97,55,3.6
29-01-1981,3.86,29,16,22.5,22.64,97,54,3.6
30-01-1981,0,27,18,22.5,17.98,97,54,4.3
31-01-1981,0,28,16,22,22.05,97,54,4
01-02-1981,0,26,14,20,22.21,97,64,3.7
02-02-1981,0,25,16,20.5,18.29,97,55,3.6
03-02-1981,0,26,16,21,19.97,97,58,3.4
04-02-1981,0,26,14,20,22.39,97,57,3.5
05-02-1981,0,25,13,19,22.51,88,67,3.2
06-02-1981,0,24,13,18.5,21.64,100,65,3.3
07-02-1981,0,24,13,18.5,21.7,100,64,3.1
08-02-1981,0,24,14,19,20.41,97,56,2.8
09-02-1981,0,24,15,19.5,18.74,95,63,2.9
10-02-1981,0,28,13,20.5,24.31,97,60,3.1
11-02-1981,0,29,14,21.5,24.35,97,60,3.5
12-02-1981,0,25,16,20.5,18.79,100,66,3.4
13-02-1981,1.195,23,17,20,11.7,100,62,3
14-02-1981,13.64,23,16,19.5,14.48,97,55,3
15-02-1981,0,26,18,22,16.7,97,56,2.5
16-02-1981,0,30,20,25,20.39,97,62,2
17-02-1981,0,34,18,26,24.92,97,58,2.1
18-02-1981,0,33,18,25.5,24.73,97,54,2.7
19-02-1981,0,32,16,24,25.07,97,58,2.7
20-02-1981,0,31,19,25,23.11,97,58,3.4
21-02-1981,0,31,16,23.5,24.96,97,59,3.4
22-02-1981,0,32,17,24.5,25,91,64,3.1
23-02-1981,0,30,17,23.5,24.14,100,69,2.8
24-02-1981,0,32,21,26.5,22.18,100,66,3.5
25-02-1981,0,30,19,24.5,22.33,85,64,3.5
26-02-1981,0,28,18,23,21.05,97,60,2.9
27-02-1981,0,30,18,24,23.55,85,66,2.6
28-02-1981,0,31,18,24.5,24.4,97,60,2.5
01-03-1981,0,28,16,22,23.76,96,54,2.2
02-03-1981,0,28,16,22,23.82,100,62,2.6
03-03-1981,0,26,17,21.5,19.61,93,63,3.1
04-03-1981,0,30,16,23,25.24,96,63,2.9
05-03-1981,0,31,17,24,25.27,96,60,2.7
06-03-1981,0,31,17,24,25.32,95,61,2.7
07-03-1981,0,30,14,22,26.06,96,58,2.7
08-03-1981,0,30,16,23,25.45,96,60,2.8
09-03-1981,0,31,13,22,26.42,95,61,3
10-03-1981,0,31,15,23,26.2,89,64,3.2
11-03-1981,0,30,16,23,25.6,79,69,2.9
12-03-1981,0,30,14,22,26.31,87,65,2.7
13-03-1981,0,29,17,23,24.3,87,66,2.5
