YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
145,16.1,26.1,87,66,0,0,5.89,30,1.72,99.03107663,1.704468437
94,10.6,29.3,83,31,0,0,5.89,30,1.28,103.1743815,0.66338286
160,17.7,30.8,88,34,43,3,5.47,28,1.39,116.841213,0.881673709
206,19.7,30.4,90,63,33,3,5.57,28,1.73,117.251907,1.445557537
203,19.7,29.2,90,68,47,9,5.43,24,1.8,116.8451783,1.913057161
180,19.4,22.9,92,80,450,27,1.54,11,2.18,70.77095947,4.591460973
132,14.6,23.6,90,76,193,22,4.02,14,1.97,89.51116365,2.138323671
167,19.3,24.2,85,81,262,26,3.36,11,2.01,93.09609022,4.108401434
157,16.2,21.8,92,78,174,22,4.21,14,2.01,81.9276183,3.808107153
177,18.4,27.3,88,71,233,15,3.64,19,1.91,93.98151019,2.185086422
185,17.9,23.8,87,71,53,13,5.38,21,1.8,88.88763439,3.670026131
176,17.5,25,84,53,16,9,5.73,24,1.55,93.54793122,2.877579027
124,13.7,25.5,79,47,0,0,5.89,30,1.41,100.3592187,1.125632945
86,10.6,29.3,83,31,0,0,5.89,30,1.28,102.2836016,0.66338286
147,17.2,31.7,78,47,26,3,5.64,28,1.42,126.6706404,0.745986053
183,19.2,31.7,79,54,39,11,5.51,22,1.51,126.8271461,0.959319442
189,19.9,30.2,82,85,76,14,5.15,20,1.92,125.1675648,1.442547168
171,18.6,26.1,87,79,201,25,3.95,12,1.98,95.83474274,2.664697363
159,18,25.8,85,77,166,23,4.28,14,1.91,101.031238,2.478146752
165,18.3,25.3,84,70,124,26,4.69,11,1.8,103.9021624,2.884551324
177,18.1,27.1,86,62,21,11,5.69,22,1.67,109.1774754,1.888157186
180,17.9,27.6,88,52,30,11,5.6,22,1.59,107.9633463,1.549675112
178,18.4,25.3,82,69,110,16,4.83,19,1.76,93.8936804,2.926837514
154,15.6,24.7,84,70,30,5,5.6,27,1.74,93.69872647,1.786991815
116,12.3,26.4,86,85,0,0,5.89,30,1.92,101.506242,0.709588892
