YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
317.97,13.35,27.65,85,48.5,0,0,5.889578298,60.21966432,1.4972625,14.05466667,14.06739583,0.624316667,101.1027291,1.183925649,116.2681384,0,24.075,16.925
519.52,19.03333333,30.11666667,89.33333333,55,123,15,5.493012,79.53219653,1.641283125,15.12044444,15.14097222,0.646141667,116.9794328,1.413429469,134.5263477,98.4,27.34583333,21.80416667
528.9,17.76666667,23.56666667,89,79,905,75,2.971753094,36.34299673,2.0550375,17.02792593,17.10259259,0.781663889,84.45940445,3.612728693,97.12831511,724,22.11666667,19.21666667
490.69,17.5,24.26666667,89,73.33333333,460,50,4.406484824,54.33849665,1.90780125,15.23903704,15.34287037,0.836652778,88.26558763,3.221073235,101.5054258,368,22.575,19.19166667
440.04,13.93333333,26.56666667,82,43.66666667,16,9,5.837992438,83.85111651,1.41219375,16.15303704,16.22703704,0.752452778,98.73025051,1.555531611,113.5397881,12.8,23.40833333,17.09166667
504.76,18.76666667,31.2,79.66666667,62,141,28,5.434977907,70.17453657,1.61456625,15.0067037,15.04240741,0.637268519,126.2217838,1.049284221,145.1550513,112.8,28.09166667,21.875
529.27,18.3,25.7,85.33333333,75.33333333,491,74,4.306537221,37.06281673,1.8946125,17.63355556,17.72388889,0.760251852,100.2560477,2.67579848,115.2944549,392.8,23.85,20.15
517.76,18.13333333,26.63333333,85.33333333,61,161,38,5.370495582,62.97633661,1.67140125,17.26344444,17.35138889,0.775619444,103.6781674,2.121556604,119.2298925,128.8,24.50833333,20.25833333
480.99,14.7,26.86666667,85.33333333,80.33333333,39,6,5.763837764,86.0105765,1.86638625,16.46414815,16.54703704,0.761227778,99.64447212,1.085951651,114.5911429,31.2,23.825,17.74166667
541.79,18.66666667,32.15,83.33333333,50.66666667,332,11,4.819171704,82.41147652,1.564033125,15.70677778,15.7962963,0.774250926,122.6689237,0.88673892,141.0692622,265.6,28.77916667,22.0375
606.24,19.4,25.35,84.66666667,74.66666667,586,59,4.000246177,47.86011668,1.897340625,17.61933333,17.68777778,0.724660185,98.36415764,3.19475557,113.1187813,468.8,23.8625,20.8875
594.85,19.16666667,25.83333333,85.66666667,76.33333333,327,54,4.835292285,51.45921666,1.87875,17.91855556,18.01759259,0.801417593,98.28885966,2.820573195,113.0321886,261.6,24.16666667,20.83333333
656.59,18.35925926,23.66296296,87.96666667,74.76666667,119.2,23,5.505263641,73.77363656,1.8483725,17.86465473,17.97018621,0.815319815,87.75737578,3.602832068,100.9209821,95.2,22.33703704,19.68518519
660.57,20.18518519,26.97222222,87.6,84.43333333,119,22,5.505908465,74.49345655,1.952382292,18.74958642,18.8595679,0.818592593,109.0012287,2.720478454,125.351413,96,25.27546296,21.88194444
605.43,19.25925926,26.07407407,97.63333333,91.23333333,569.5,67,4.053444095,42.10155671,2.22643125,18.91469218,19.03858848,0.903658426,87.14346463,2.501653193,100.2149843,456,24.37037037,20.96296296
557.17,17.96296296,26.38888889,98.63333333,86.7,264.6,27,5.036477139,70.89435657,2.129622917,17.63255556,17.76040741,0.946645648,89.23636292,1.640297031,102.6218174,212.8,24.28240741,20.06944444
578.83,16.2962963,25.64814815,93.46666667,66.03333333,114.9,8,5.519127341,84.57093651,1.8112,16.67355021,16.77740947,0.890018056,87.22075202,1.441373597,100.3038648,92,23.31018519,18.63425926
649.12,20.92592593,29.62962963,90.26666667,66.36666667,121.2,20,5.498815409,75.93309655,1.7791625,17.59056543,17.65320988,0.769518796,114.8003662,1.669384412,132.0204212,97.6,27.4537037,23.10185185
615.77,19.62962963,25.83333333,90.7,87.1,1066.3,75,3.044315299,36.34299673,2.195066667,18.3786856,18.4779393,0.845589074,87.31595628,3.000391167,100.4133497,853.6,24.28240741,21.18055556
582.52,19.44444444,26.57407407,98,83.96666667,402.4,49,4.59219392,55.05831664,2.117397917,17.49770082,17.62045267,0.899081759,86.6081407,2.572919124,99.59936181,322.4,24.79166667,21.22685185
587.21,16.86296296,25.37407407,97.26666667,70.96666667,86,16,7.344992636,78.81237653,1.903998333,18.02616996,18.13188477,0.892768704,94.10047968,2.131610032,108.2155516,68.8,23.2462963,18.99074074
